キャラクター,タイトル,
銀次郎（ぎんじろう）,彩雲国物語,
大鴉（おおからす）,彩雲国物語,
斉木 楠雄（さいき くすお）,斉木楠雄のΨ難,10
斉木 楠子（さいき くすこ）,斉木楠雄のΨ難,
サイ,斉木楠雄のΨ難,
燃堂 力（ねんどう りき）,斉木楠雄のΨ難,
海藤 瞬（かいどう しゅん[注 14]）,斉木楠雄のΨ難,
漆黒の翼（しっこくのつばさ）,斉木楠雄のΨ難,
灰呂 杵志（ハイロ キネシ[注 16]）　,斉木楠雄のΨ難,
照橋 心美（てるはし ここみ）,斉木楠雄のΨ難,
夢原 知予（ゆめはら ちよ）,斉木楠雄のΨ難,
目良 千里（めら ちさと）,斉木楠雄のΨ難,
窪谷須 亜蓮（くぼやす あれん）,斉木楠雄のΨ難,
才虎 芽斗吏（さいこ めとり）,斉木楠雄のΨ難,
相卜 命（あいうら みこと）,斉木楠雄のΨ難,
明智 透真（あけち とうま）,斉木楠雄のΨ難,
高橋（たかはし）,斉木楠雄のΨ難,
村田 修二（むらた しゅうじ）[17],斉木楠雄のΨ難,
横田 邪我（よこた じゃが）[17],斉木楠雄のΨ難,
沢北 幸輝（さわきた こうき）,斉木楠雄のΨ難,
ゾルベ・勘解由小路・シャーベライト（- かでのこうじ -）[17],斉木楠雄のΨ難,
樫村 大河（かしむら たいが）、松尾 平（まつお たいら）、湯浅（ゆあさ）、鵜飼（うかい）、宇野（うの）,斉木楠雄のΨ難,
葛西 文（かさい ふみ）,斉木楠雄のΨ難,
鳥束 零太（とりつか れいた）,斉木楠雄のΨ難,
佐藤 広（さとう ひろし）,斉木楠雄のΨ難,
鈴宮 陽衣（すずみや ひい）,斉木楠雄のΨ難,
篠田 タケル（しのだ タケル）[17],斉木楠雄のΨ難,
大堀 幸一（おおほり こういち）[19],斉木楠雄のΨ難,
吾川（あがわ）,斉木楠雄のΨ難,
田代（たしろ）,斉木楠雄のΨ難,
菅原（すがわら）,斉木楠雄のΨ難,
高宮（たかみや）,斉木楠雄のΨ難,
福徳（ふくとく）,斉木楠雄のΨ難,
阿部（あべ）,斉木楠雄のΨ難,
真木 椎子,斉木楠雄のΨ難,
梨歩田 依舞（りふた いむ）,斉木楠雄のΨ難,
万城乃 亜リ栖（まきの ありす） / 下柳 敦美（しもやなぎ あつみ）[10][注 25],斉木楠雄のΨ難,
三上 愛子（みかみ あいこ）[17],斉木楠雄のΨ難,
谷原 健二（たにはら けんじ）,斉木楠雄のΨ難,
金剛 剛（こんごう つよし）,斉木楠雄のΨ難,
浄天 真子（じょうてん まなこ）,斉木楠雄のΨ難,
上田（うえだ）,斉木楠雄のΨ難,
松崎（まつざき）,斉木楠雄のΨ難,
神田 品助（かんだ ぴんすけ）,斉木楠雄のΨ難,
島 京佳（しま きょうか）[19],斉木楠雄のΨ難,
井口 工（いぐち たくみ）,斉木楠雄のΨ難,
斉木 國春（さいき くにはる）,斉木楠雄のΨ難,
斉木 久留美（さいき くるみ）,斉木楠雄のΨ難,
斉木 熊五郎（さいき くまごろう）,斉木楠雄のΨ難,
斉木 久美（さいき くみ）,斉木楠雄のΨ難,
斉木 空助（さいき くうすけ）,斉木楠雄のΨ難,
燃堂 緑（ねんどう みどり）,斉木楠雄のΨ難,
竹内 力（たけうち りき）,斉木楠雄のΨ難,
中西 宏太（なかにし こうた）,斉木楠雄のΨ難,
小力2号（こりき2ごう）,斉木楠雄のΨ難,
海藤の母,斉木楠雄のΨ難,
海藤 空（かいどう そら）,斉木楠雄のΨ難,
海藤 時（かいどう とき）,斉木楠雄のΨ難,
照橋 信（てるはし マコト）,斉木楠雄のΨ難,
才虎の父（仮称）,斉木楠雄のΨ難,
目良 浄（めら きよし）,斉木楠雄のΨ難,
神野 和尚（かんの かずなお）,斉木楠雄のΨ難,
窪谷須 廉庵（くぼやす れあん）,斉木楠雄のΨ難,
蝶野 雨緑（ちょうの うりょく） / 中西 宏太（なかにし こうた）,斉木楠雄のΨ難,
池見 華寿弥（いけみ かずや）[注 37],斉木楠雄のΨ難,
入達 遊太（いりだつ ゆうた）,斉木楠雄のΨ難,
魔美の店長（仮称）,斉木楠雄のΨ難,
白神 筆吉（しらがみ ふできち）,斉木楠雄のΨ難,
鬼松 獄哉（おにまつ ごくや）[17],斉木楠雄のΨ難,
ポチ美（- み）,斉木楠雄のΨ難,
マイケル・スコフィールド,斉木楠雄のΨ難,
真鍋 梅久（まなべ ばいく）,斉木楠雄のΨ難,
水原 一郎（みずはら いちろう）[17],斉木楠雄のΨ難,
五味 寛（ごみ ひろし）,斉木楠雄のΨ難,
ミケ,斉木楠雄のΨ難,
ビーナス月子（-つきこ）,斉木楠雄のΨ難,
よっさん、マサル,斉木楠雄のΨ難,
たかし,斉木楠雄のΨ難,
神前 美月（かんざき みつき）,最近、妹のようすがちょっとおかしいんだが。,10
寿 日和（ことぶき ひより）,最近、妹のようすがちょっとおかしいんだが。,
神前 夕哉（かんざき ゆうや）,最近、妹のようすがちょっとおかしいんだが。,
桐谷 雪那（きりたに ゆきな）,最近、妹のようすがちょっとおかしいんだが。,
鳥井 正太郎（とりい しょうたろう）,最近、妹のようすがちょっとおかしいんだが。,
根子（ねこ）,最近、妹のようすがちょっとおかしいんだが。,
橘 彩花（たちばな あやか）,最近、妹のようすがちょっとおかしいんだが。,
南先生,最近、妹のようすがちょっとおかしいんだが。,
神前 哲哉（かんざき てつや）,最近、妹のようすがちょっとおかしいんだが。,
神前 香子（かんざき きょうこ）,最近、妹のようすがちょっとおかしいんだが。,
明坂 七海（あけさか ななみ）,最近、妹のようすがちょっとおかしいんだが。,
鳥井 萌亜（とりい もあ）,最近、妹のようすがちょっとおかしいんだが。,
桐谷 豪雪（きりたに ごうせつ）,最近、妹のようすがちょっとおかしいんだが。,
島津,最近、妹のようすがちょっとおかしいんだが。,
メイちゃん,最近、妹のようすがちょっとおかしいんだが。,
イサム・ナポト,サイコアーマー・ゴーバリアン,10
アチカ・リサ,サイコアーマー・ゴーバリアン,
クルト・バスター,サイコアーマー・ゴーバリアン,
ハンス・シュルツ,サイコアーマー・ゴーバリアン,
カリム・アトラス,サイコアーマー・ゴーバリアン,
ピケ,サイコアーマー・ゴーバリアン,
プケ,サイコアーマー・ゴーバリアン,
トンガリ,サイコアーマー・ゴーバリアン,
ライラ・スワニー,サイコアーマー・ゴーバリアン,
ロス・コガロ,サイコアーマー・ゴーバリアン,
パルダー・ナト,サイコアーマー・ゴーバリアン,
エリナ・パルチ,サイコアーマー・ゴーバリアン,
ゼクー・アルバ,サイコアーマー・ゴーバリアン,
オルドン,サイコアーマー・ゴーバリアン,
メリア,サイコアーマー・ゴーバリアン,
クリスト,サイコアーマー・ゴーバリアン,
ドムソン,サイコアーマー・ゴーバリアン,
ダムーラ,サイコアーマー・ゴーバリアン,
ジャギー,サイコアーマー・ゴーバリアン,
ゴロキー,サイコアーマー・ゴーバリアン,
ガラダイン皇帝,サイコアーマー・ゴーバリアン,
ミリー・リー,サイコアーマー・ゴーバリアン,
トオル・ナポト博士(第４、13、19、20、26話),サイコアーマー・ゴーバリアン,
ナポト博士の部下(第19話),サイコアーマー・ゴーバリアン,
マキムラ本部指令(第18話),サイコアーマー・ゴーバリアン,
スヌート(第16話),サイコアーマー・ゴーバリアン,
シーラ・トランス(第16話),サイコアーマー・ゴーバリアン,
ゴーバリアン,サイコアーマー・ゴーバリアン,
装備,サイコアーマー・ゴーバリアン,
バリアンダガー,サイコアーマー・ゴーバリアン,
バリホーク,サイコアーマー・ゴーバリアン,
バリホーク・ハイポテンシャル,サイコアーマー・ゴーバリアン,
レイド,サイコアーマー・ゴーバリアン,
ガロム,サイコアーマー・ゴーバリアン,
グリンガ（第1話、第2話、第25話）,サイコアーマー・ゴーバリアン,
ザリガス（第3話、第4話、第5話、第7話、第10話、第11話）,サイコアーマー・ゴーバリアン,
ドグロス（第4話、第6話、第8話、第12話、第14話、第15話、第16話、第19話、第25話）,サイコアーマー・ゴーバリアン,
ボーバル（第9話）,サイコアーマー・ゴーバリアン,
トルネード（第18話）,サイコアーマー・ゴーバリアン,
ドランゲス（第19話）,サイコアーマー・ゴーバリアン,
デスガンダー（第20話以降）,サイコアーマー・ゴーバリアン,
ルクス・アーカディア,最弱無敗の神装機竜,10
リーズシャルテ・アティスマータ,最弱無敗の神装機竜,
クルルシファー・エインフォルク,最弱無敗の神装機竜,
フィルフィ・アイングラム,最弱無敗の神装機竜,
セリスティア・ラルグリス,最弱無敗の神装機竜,
切姫 夜架（きりひめ よるか）,最弱無敗の神装機竜,
アイリ・アーカディア,最弱無敗の神装機竜,
ノクト・リーフレット,最弱無敗の神装機竜,
シャリス・バルトシフト,最弱無敗の神装機竜,
ティルファー・リルミット,最弱無敗の神装機竜,
レリィ・アイングラム,最弱無敗の神装機竜,
ライグリィ・バルハート,最弱無敗の神装機竜,
ラフィ・アティスマータ,最弱無敗の神装機竜,
ナルフ・ファイブリオン,最弱無敗の神装機竜,
ディハイベル・バルトシフト[注 1],最弱無敗の神装機竜,
ウェイブラ・ヘムト,最弱無敗の神装機竜,
ワーグ・クロイツァー,最弱無敗の神装機竜,
バルゼリッド・クロイツァー,最弱無敗の神装機竜,
ジグ・クロイツァー,最弱無敗の神装機竜,
ディスト・ラルグリス,最弱無敗の神装機竜,
ゾグァ・シャルトスト,最弱無敗の神装機竜,
バグライザー・ガシュトフ,最弱無敗の神装機竜,
ベルベット・バルト,最弱無敗の神装機竜,
ラグリード・フォルス,最弱無敗の神装機竜,
ヘイズ,最弱無敗の神装機竜,
サニア・レミスト,最弱無敗の神装機竜,
イーグニッド,最弱無敗の神装機竜,
キルリ,最弱無敗の神装機竜,
ローザ・グランハイド,最弱無敗の神装機竜,
カレンシア・ハーズマイス,最弱無敗の神装機竜,
ステファ・ハーズマイス,最弱無敗の神装機竜,
ゲルタフ・ヴェイル,最弱無敗の神装機竜,
アルテリーゼ・メイクレア,最弱無敗の神装機竜,
メル・ギザルト,最弱無敗の神装機竜,
ステイル・エインフォルク,最弱無敗の神装機竜,
ザイン・エインフォルク,最弱無敗の神装機竜,
ニアス,最弱無敗の神装機竜,
オルフェル,最弱無敗の神装機竜,
ネイ・ルーシュ,最弱無敗の神装機竜,
グライファー・ネスト,最弱無敗の神装機竜,
コーラル・エスター,最弱無敗の神装機竜,
ミルミエット・クローデル,最弱無敗の神装機竜,
バズハイム,最弱無敗の神装機竜,
シングレン・シェルブリット,最弱無敗の神装機竜,
ツヴァイベルク・ギムレ,最弱無敗の神装機竜,
リステルカ・レイ・アーシャリア,最弱無敗の神装機竜,
エーリル・ヴィー・アーカディア,最弱無敗の神装機竜,
フギル・アーカディア,最弱無敗の神装機竜,
ミスシス・V・エクスファー,最弱無敗の神装機竜,
ラ・クルシェ,最弱無敗の神装機竜,
エル・ファジュラ,最弱無敗の神装機竜,
ドラッケン・メギストリ,最弱無敗の神装機竜,
ヴァイン・アシェットス,最弱無敗の神装機竜,
ガトゥハーン・バレス,最弱無敗の神装機竜,
ディルウィ・フロイアス,最弱無敗の神装機竜,
マギアルカ・ゼン・ヴァンフリーク,最弱無敗の神装機竜,
アールマティ・アティスマータ,最弱無敗の神装機竜,
ソフィス・セプティ,最弱無敗の神装機竜,
ウルク・セプティ,最弱無敗の神装機竜,
シュウジ（声：石母田史朗/演：窪塚俊介）,最終兵器彼女,10
ちせ（声：折笠富美子/演：前田亜季）,最終兵器彼女,
テツ（声：三木眞一郎/演：渋川清彦）,最終兵器彼女,
ふゆみ（声：伊藤美紀/演：酒井美紀）,最終兵器彼女,
アケミ（声：杉本ゆう/演：貫地谷しほり）,最終兵器彼女,
アツシ（声：白鳥哲/演：木村了）,最終兵器彼女,
ゆかり（声：小島幸子）,最終兵器彼女,
タケ（声：谷山紀章）,最終兵器彼女,
せいこ（声：浅井清己）,最終兵器彼女,
りえ（声：今野宏美）,最終兵器彼女,
ノリ（声：下和田裕貴）,最終兵器彼女,
カズ（声：岸祐二）,最終兵器彼女,
シュウジの母（声：土井美加）,最終兵器彼女,
シュウジの父（声：井上和彦）,最終兵器彼女,
アケミの父（声：稲垣隆史）,最終兵器彼女,
ちせの父,最終兵器彼女,
ちせの母,最終兵器彼女,
カズヤ（声：塩山由佳）,最終兵器彼女,
サトミ（声：かかずゆみ）,最終兵器彼女,
イク（声：中原麻衣）,最終兵器彼女,
大将（声：横山亘）,最終兵器彼女,
マサ（声：小森創介）,最終兵器彼女,
ゴロー（声：志村知幸）,最終兵器彼女,
ミズキ（声：折笠愛）,最終兵器彼女,
ミナモト（声：家弓家正）,最終兵器彼女,
カワハラ（声：伊井篤史）,最終兵器彼女,
副長官（声：浦山迅）,最終兵器彼女,
ワダ（声：菅生隆之）,最終兵器彼女,
イトウ（声：村治学）,最終兵器彼女,
カズ（声：笹田貴之）,最終兵器彼女,
トシ（声：山口登）,最終兵器彼女,
ヒデ（声：佐藤祐四）,最終兵器彼女,
ナカムラ（声：谷山紀章/演：川久保拓司）,最終兵器彼女,
リョウヘイ（声：松野太紀、OVAは福山潤）,最終兵器彼女,
シンゴ（声：吉野裕行）,最終兵器彼女,
ハナ,最終兵器彼女,
ムラセ（演：伊武雅刀）,最終兵器彼女,
少年,最終兵器彼女,
長袖の少女,最終兵器彼女,
少年の彼女,最終兵器彼女,
狙撃手,最終兵器彼女,
少女,最終兵器彼女,
語り部,最終兵器彼女,
鬼っ子,最終兵器彼女,
マー,最終兵器彼女,
御子,最終兵器彼女,
ジーサン、バーサン,サイボーグクロちゃん,10
ダンク,サイボーグクロちゃん,
鈴木 一郎,サイボーグクロちゃん,
めぐみ,サイボーグクロちゃん,
岡田チエコ,サイボーグクロちゃん,
長瀬 五郎／ゴロー,サイボーグクロちゃん,
ロミオ,サイボーグクロちゃん,
ジュリエット,サイボーグクロちゃん,
ベイビーちゃん,サイボーグクロちゃん,
モービーディック,サイボーグクロちゃん,
一つ目宇宙人・地底人,サイボーグクロちゃん,
デビル,サイボーグクロちゃん,
ゾンビウイルス,サイボーグクロちゃん,
サイボーグ風邪,サイボーグクロちゃん,
デビルマタタビ,サイボーグクロちゃん,
デビルヘビビンガー,サイボーグクロちゃん,
デビル宇宙人,サイボーグクロちゃん,
デビルオーサム,サイボーグクロちゃん,
デビル剛ロボ,サイボーグクロちゃん,
BB,サイボーグクロちゃん,
スナイパー・エース,サイボーグクロちゃん,
スカイ・キル,サイボーグクロちゃん,
クラッシャー・ニトロ,サイボーグクロちゃん,
メガトン・ボム,サイボーグクロちゃん,
デンジャー・ボルト,サイボーグクロちゃん,
ビッグ・ボス,サイボーグクロちゃん,
クロ,サイボーグクロちゃん,
鉄人28剛,サイボーグクロちゃん,
ヒロスエ,サイボーグクロちゃん,
オーサム、コサム,サイボーグクロちゃん,
がんばれミーくん2号,サイボーグクロちゃん,
トキマツ,サイボーグクロちゃん,
剛君バトルカー,サイボーグクロちゃん,
ニャンニャンアーミー1号,サイボーグクロちゃん,
ニャンニャンアーミー2号（スパイダー02）,サイボーグクロちゃん,
ニャンニャンアーミー3号,サイボーグクロちゃん,
ニャンニャンアーミー4号,サイボーグクロちゃん,
ニャンニャンアーミー5号,サイボーグクロちゃん,
スモールライター,サイボーグクロちゃん,
ミッキー6型（通称ミッキー・ローク）,サイボーグクロちゃん,
パパゴロー,サイボーグクロちゃん,
ママゴロー,サイボーグクロちゃん,
チョロ,サイボーグクロちゃん,
フォックス（シスカ）,サイボーグクロちゃん,
ガーニー,サイボーグクロちゃん,
将軍（兄）,サイボーグクロちゃん,
将軍（弟）,サイボーグクロちゃん,
フランケンジョーズ,サイボーグクロちゃん,
クロバスくん,サイボーグクロちゃん,
バイス,サイボーグクロちゃん,
サイボーグ・スケ,サイボーグクロちゃん,
サイボーグ・爆風,サイボーグクロちゃん,
サイボーグ・マメン,サイボーグクロちゃん,
アナ・コンダ,サイボーグクロちゃん,
グランダーII,サイボーグクロちゃん,
ゴッチ,サイボーグクロちゃん,
ドッチ,サイボーグクロちゃん,
グレー,サイボーグクロちゃん,
リキ,サイボーグクロちゃん,
サンカク・ホクロ,サイボーグクロちゃん,
シロ,サイボーグクロちゃん,
イロミミ,サイボーグクロちゃん,
マフィ,サイボーグクロちゃん,
マリー,サイボーグクロちゃん,
タゴじーさん,サイボーグクロちゃん,
ヤーイ、ヤースー、ヤーチー,サイボーグクロちゃん,
マロ王子,サイボーグクロちゃん,
ミミ姫,サイボーグクロちゃん,
中松,サイボーグクロちゃん,
パトじい,サイボーグクロちゃん,
エイハブ,サイボーグクロちゃん,
ジョナサン,サイボーグクロちゃん,
カズマ,サイボーグクロちゃん,
吉野 里子,サイボーグクロちゃん,
鉄平、京子,サイボーグクロちゃん,
掲示係・保健係,サイボーグクロちゃん,
天童 勇,サイボーグクロちゃん,
パトラッシュ,サイボーグクロちゃん,
プーリィ,サイボーグクロちゃん,
リリィ,サイボーグクロちゃん,
ブッチ,サイボーグクロちゃん,
コタローの父,サイボーグクロちゃん,
長瀬,サイボーグクロちゃん,
ヘビビンガー,サイボーグクロちゃん,
テレビリポーターの男,サイボーグクロちゃん,
銀行強盗,サイボーグクロちゃん,
クチビルゲルゲ,サイボーグクロちゃん,
トラックの運ちゃん,サイボーグクロちゃん,
大工の頭領,サイボーグクロちゃん,
ゲーセンの店長,サイボーグクロちゃん,
マーくん,サイボーグクロちゃん,
ピーちゃん,サイボーグクロちゃん,
フカキョン,サイボーグクロちゃん,
ブールス,サイボーグクロちゃん,
ロボッチ,サイボットロボッチ,10
セキトリ,サイボットロボッチ,
タケドン,サイボットロボッチ,
オカメ,サイボットロボッチ,
マトモ,サイボットロボッチ,
ブリッコ,サイボットロボッチ,
与作（よさく）,サイボットロボッチ,
ゴサク,サイボットロボッチ,
九作（くさく）,サイボットロボッチ,
レーズンロッコ,サイボットロボッチ,
のぞ木（のぞき）,サイボットロボッチ,
カブト丸（カブトまる）,サイボットロボッチ,
ケロンパー,サイボットロボッチ,
ホットドク,サイボットロボッチ,
ニャンコ,サイボットロボッチ,
ジャレガニ,サイボットロボッチ,
カラカラカラス,サイボットロボッチ,
Dr.デコ（どくたー デコ）,サイボットロボッチ,
雪野 クルミ（ゆきの クルミ）,サイボットロボッチ,
雪野 サチ子（ゆきの サチこ）,サイボットロボッチ,
雪野 風念（ゆきの ふうねん）,サイボットロボッチ,
生倉 竹光（なまくら たけみつ）,サイボットロボッチ,
生倉 松男（なまくら まつお）,サイボットロボッチ,
生倉 うずら（なまくら うずら）,サイボットロボッチ,
とびげり婆さん,サイボットロボッチ,
ボス,サイボットロボッチ,
ベン,サイボットロボッチ,
ビル,サイボットロボッチ,
ハイブロー,サイボットロボッチ,
ナンシー,サイボットロボッチ,
シルビア,サイボットロボッチ,
香津美・リキュール（かつみ リキュール）,サイレントメビウス,10
キディ・フェニル（Kiddie Phenyl）,サイレントメビウス,
レビア・マーベリック（Lebia Mavelick）,サイレントメビウス,
闇雲那魅（やみぐも なみ）,サイレントメビウス,
彩弧由貴（さいこ ゆき）,サイレントメビウス,
磯崎真奈（いそざき まな）,サイレントメビウス,
藍菁（ラム・チェン）,サイレントメビウス,
ラリー・シャイアン（Larry Cheyenne）,サイレントメビウス,
ガノッサ・マクシミリアン,サイレントメビウス,
ローザ･シャイアン,サイレントメビウス,
ルシフェル,サイレントメビウス,
AMPメンバー,サイレントメビウス,
ルシファーホークサイド,サイレントメビウス,
クライシス関係者,サイレントメビウス,
警察関係者,サイレントメビウス,
チーム・ウーファー,サイレントメビウス,
アオイ・真境名,サイレントメビウス,
パル・オーガニック,サイレントメビウス,
闇雲凪,サイレントメビウス,
ハイファ・吉澤,サイレントメビウス,
チーム・ツイーター,サイレントメビウス,
ターシャ・リコワルスキ,サイレントメビウス,
アイリーン・王,サイレントメビウス,
村雨愛由美,サイレントメビウス,
チーム・スコーカー,サイレントメビウス,
アマンダ・ペイン,サイレントメビウス,
恋兎優奈,サイレントメビウス,
ハン・リジャン,サイレントメビウス,
チーム・イコライザ,サイレントメビウス,
レビア・マーベリック,サイレントメビウス,
