キャラクター,タイトル,
クリムゾン・ダイナモ（ゲスト）,アイアンマン,
ハッカー（ゲスト）,アイアンマン,
チタニウマン（ゲスト）,アイアンマン,
ダークイージス（ゲスト）,アイアンマン,
イラスティカ（ゲスト）,アイアンマン,
ダム・ダム・ドゥーガン（ゲスト）,アイアンマン,
ハルク（ゲスト）,アイアンマン,
ブルース・バーナー,アイアンマン,
リーダー（ゲスト）,アイアンマン,
フューリー（ゲスト）,アイアンマン,
天谷 奏香（あまや かなか）,あいうら,3
岩沢 彩生（いわさわ さき）,あいうら,
上原 歩子（うえはら あゆこ）,あいうら,
簗瀬 芽依（やなせ めい）,あいうら,
真中 南緒（まなか なお）,あいうら,
佐竹 達也（さたけ たつや）,あいうら,
榎畑 友樹（えのきばた ゆうき）,あいうら,
小松 春菜（こまつ はるな）,あいうら,
辻 恵理（つじ えり）,あいうら,
芽依の隣の席の少女,あいうら,
柏尾 泉水（かしお いずみ）,あいうら,
畔田 ありさ（くろだ ありさ）,あいうら,
吉野 羽美（よしの うみ）,あいうら,
中根 優月（なかね ゆづき）,あいうら,
角野（かどの）,あいうら,
猶原 陽奈子（このはら ひなこ）,あいうら,
榎畑 瑠唯（えのきばた るい）,あいうら,
赤松 純（あかまつ じゅん）,あいうら,
池田（いけだ）,あいうら,
山下 寿美子（やました すみこ）,あいうら,
松野 修作（まつの しゅうさく）,あいうら,
若月 美鈴（わかつき みすず）,あいうら,
水森 愛（みずもり めぐみ）,あいうら,
天谷 颯太（あまや そうた）,あいうら,
奏香・颯太の母,あいうら,
岩沢 彩（いわさわ あや）,あいうら,
岩沢 幸生（いわさわ ゆきお）,あいうら,
上原 裕子（うえはら ひろこ）,あいうら,
歩子・裕子の母,あいうら,
芽依の父,あいうら,
芽依の母,あいうら,
吉野 晴（よしの そら）,あいうら,
柏尾 淳（かしお じゅん）,あいうら,
実奈（みな）,あいうら,
八隅（やすみ）,あいうら,
広瀬（ひろせ）,あいうら,
オカザキ,あいうら,
相浦 ノリ子（あいうら のりこ）,あいうら,
茶麻（ちゃま）,あいうら,
サヤカ,あいうら,
シンジ,あいうら,
山田モモ助,あいうら,
ガケ美,あいうら,
プロモデラー,あいうら,
マサヒロ,あいうら,
ヒトミ,あいうら,
ファイター,あいうら,
タケシ,あいうら,
よしお,あいうら,
高山田 マリ（たかやまだ マリ）,あいうら,
猫,あいうら,
みよ子,あいうら,
魔王,あいうら,
虹野 ゆめ（にじの ゆめ）,アイカツスターズ!,4
早乙女 あこ（さおとめ あこ）,アイカツスターズ!,
香澄 真昼（かすみ まひる）,アイカツスターズ!,
白鳥 ひめ（しらとり ひめ）,アイカツスターズ!,
如月 ツバサ（きさらぎ ツバサ）,アイカツスターズ!,
二階堂 ゆず（にかいどう ゆず）,アイカツスターズ!,
香澄 夜空（かすみ よぞら）,アイカツスターズ!,
エルザ フォルテ,アイカツスターズ!,
花園 きらら（はなぞの きらら）,アイカツスターズ!,
騎咲 レイ（きざき レイ）,アイカツスターズ!,
双葉 アリア（ふたば アリア）,アイカツスターズ!,
芦田 有莉（あしだ ゆり）,アイカツスターズ!,
風間 かおる（かざま かおる）,アイカツスターズ!,
白銀 リリィ（しろがね リリィ）,アイカツスターズ!,
桜庭 ローラ（さくらば ローラ）,アイカツスターズ!,
桂 ミキ（かつら ミキ）,アイカツスターズ!,
明石 咲耶（あかし さや）,アイカツスターズ!,
坂本 ありさ（さかもと ありさ）,アイカツスターズ!,
七倉 小春（ななくら こはる）,アイカツスターズ!,
雪乃 ホタル（ゆきの ほたる）,アイカツスターズ!,
TAMAE（たまえ）,アイカツスターズ!,
ハルカ☆ルカ,アイカツスターズ!,
結城 すばる（ゆうき すばる）,アイカツスターズ!,
五十嵐 望（いがらし のぞむ）,アイカツスターズ!,
吉良 かなた（きら かなた）,アイカツスターズ!,
香澄 朝陽（かすみ あさひ）,アイカツスターズ!,
諸星 ヒカル（もろぼし ヒカル）,アイカツスターズ!,
響 アンナ（ひびき アンナ）,アイカツスターズ!,
八千草 桃子（やちぐさ ももこ）,アイカツスターズ!,
デーブ 佐東（デーブ さとう）,アイカツスターズ!,
美羽 玉五郎（みわ たまごろう）,アイカツスターズ!,
花畑 ナナ（はなはた ナナ）,アイカツスターズ!,
飴宮 愛理（あめみや あいり）,アイカツスターズ!,
御堂 マユ（みどう マユ）,アイカツスターズ!,
沙浄 絵理（さじょう えり）,アイカツスターズ!,
寺田 香奈（てらだ かな）,アイカツスターズ!,
玉川 陽鞠（たまがわ ひまり）,アイカツスターズ!,
菅野 まあや（すがの まあや）,アイカツスターズ!,
加賀山 るみ子（かがやま るみこ）,アイカツスターズ!,
貝山 海美（かいやま うみ）,アイカツスターズ!,
青山 ちはる（あおやま ちはる）,アイカツスターズ!,
音羽 ゆきな（おとは ゆきな）,アイカツスターズ!,
佐久間 玲奈（さくま れいな）,アイカツスターズ!,
宇佐美 彩（うさみ あや）,アイカツスターズ!,
野々宮 サキ（ののみや サキ）,アイカツスターズ!,
奥谷 華子（おくたに はなこ）,アイカツスターズ!,
鷲谷 美乃里（わしや みのり）,アイカツスターズ!,
宮小路 たまき（みやこうじ たまき）,アイカツスターズ!,
亀山（かめやま）,アイカツスターズ!,
桃井 こころ（ももい こころ）,アイカツスターズ!,
柏崎 メイ（かしわざき メイ）,アイカツスターズ!,
皆場 セシル（みなば セシル）,アイカツスターズ!,
丸山 さくら（まるやま さくら）,アイカツスターズ!,
小田 真澄（おだ ますみ）,アイカツスターズ!,
小倉 渚（おぐら なぎさ）,アイカツスターズ!,
松風 琴葉（まつかぜ ことは）,アイカツスターズ!,
丸 風香（まる ふうか）,アイカツスターズ!,
千歳 まひろ（ちとせ まひろ）,アイカツスターズ!,
赤坂 いちか（あかさか いちか）,アイカツスターズ!,
最中 すず（さなか すず）,アイカツスターズ!,
桃山 千穂（ももやま ちほ）,アイカツスターズ!,
アリス キャロル,アイカツスターズ!,
芦田有莉（あしだ ゆり）,アイカツスターズ!,
リスト ユーリ,アイカツスターズ!,
ユリカ,アイカツスターズ!,
ジャスミン・T,アイカツスターズ!,
シエミ,アイカツスターズ!,
ベロニカ,アイカツスターズ!,
ヨハンナ,アイカツスターズ!,
マリー,アイカツスターズ!,
デイジー,アイカツスターズ!,
じいや,アイカツスターズ!,
鳴瀬 あゆみ（なるせ あゆみ）,アイカツスターズ!,
青山 ナホ（あおやま ナホ）,アイカツスターズ!,
寿美子（すみこ）,アイカツスターズ!,
元子（もとこ）,アイカツスターズ!,
英子（えいこ）,アイカツスターズ!,
森 きらり（もり きらり）,アイカツスターズ!,
山口FD（やまぐち - ）,アイカツスターズ!,
ミスロマンス,アイカツスターズ!,
岡本 二郎（おかもと じろう）,アイカツスターズ!,
宝積 甘太（ほうづみ かんた）,アイカツスターズ!,
川田（かわだ）,アイカツスターズ!,
森田（もりた）、山田（やまだ）,アイカツスターズ!,
幸本 薫（こうもと かおる）,アイカツスターズ!,
巻杉 マキコ（まきすぎ マキコ）,アイカツスターズ!,
西 太陽（にし たいよう）,アイカツスターズ!,
ジャン監督,アイカツスターズ!,
指田（さしだ）,アイカツスターズ!,
内田 永吉（うちだ えいきち）,アイカツスターズ!,
ピロシェンコ,アイカツスターズ!,
須藤（すどう）,アイカツスターズ!,
風上 結子（かざかみ ゆいこ）,アイカツスターズ!,
フフフ君,アイカツスターズ!,
井伊（いい）,アイカツスターズ!,
あやみ,アイカツスターズ!,
ブラックスター,アイカツスターズ!,
辻（つじ）,アイカツスターズ!,
マーライオンキャリー,アイカツスターズ!,
虹野 大（にじの まさる）,アイカツスターズ!,
虹野 景子（にじの きょうこ）,アイカツスターズ!,
七倉 千秋（ななくら ちあき）,アイカツスターズ!,
七倉 夏菜（ななくら なつな）,アイカツスターズ!,
桜庭 七海（さくらば ななみ）,アイカツスターズ!,
香澄父,アイカツスターズ!,
香澄母,アイカツスターズ!,
ユキエ・グレース・フォルテ,アイカツスターズ!,
ニコ、ココ,アイカツスターズ!,
レイナ,アイカツスターズ!,
トメさん、ツルさん、カメさん、ウメさん,アイカツスターズ!,
ほのか、颯太（そうた）,アイカツスターズ!,
夜空ファン,アイカツスターズ!,
カズ,アイカツスターズ!,
スズ,アイカツスターズ!,
沙綾（さあや）,アイカツスターズ!,
すもも,アイカツスターズ!,
夏奈（なつな）,アイカツスターズ!,
ステラ,アイカツスターズ!,
哲也（てつや）,アイカツスターズ!,
前川 綾乃（まえかわ あやの）,アイカツスターズ!,
四ツ星学園,アイカツスターズ!,
ヴィーナスアーク→ネオヴィーナスアーク,アイカツスターズ!,
友希 あいね（ゆうき あいね）,アイカツフレンズ!,
湊 みお（みなと みお）,アイカツフレンズ!,
蝶乃 舞花（ちょうの まいか）,アイカツフレンズ!,
日向 エマ（ひなた エマ）,アイカツフレンズ!,
神城 カレン（かみしろ カレン）,アイカツフレンズ!,
明日香 ミライ（あすか ミライ）,アイカツフレンズ!,
白百合 さくや（しらゆり さくや）,アイカツフレンズ!,
白百合 かぐや（しらゆり かぐや）,アイカツフレンズ!,
天翔 ひびき（てんしょう ひびき）,アイカツフレンズ!,
アリシア シャーロット,アイカツフレンズ!,
真波 マリン（まなみ マリン）,アイカツフレンズ!,
新海 リンナ（しんかい リンナ）,アイカツフレンズ!,
春風 わかば（はるかぜ わかば）,アイカツフレンズ!,
ココ,アイカツフレンズ!,
ナナイロナナ,アイカツフレンズ!,
友希 まさむね（ゆうき まさむね）,アイカツフレンズ!,
友希 ねね（ゆうき ねね）,アイカツフレンズ!,
友希 かずね（ゆうき かずね）,アイカツフレンズ!,
友希 すずね（ゆうき すずね）,アイカツフレンズ!,
友希 ももね（ゆうき ももね）,アイカツフレンズ!,
友希 よしつね（ゆうき よしつね）,アイカツフレンズ!,
ぺんね,アイカツフレンズ!,
湊 玲子（みなと れいこ）,アイカツフレンズ!,
湊 理（みなと おさむ）,アイカツフレンズ!,
蝶乃 拳詩郎（ちょうの けんしろう）,アイカツフレンズ!,
蝶乃 舞（ちょうの まい）,アイカツフレンズ!,
蝶乃 舞人（ちょうの まいと）,アイカツフレンズ!,
シャルル・シャーロット,アイカツフレンズ!,
円城寺 たまき（えんじょうじ たまき）,アイカツフレンズ!,
ケン・マユズミ,アイカツフレンズ!,
蜂谷 千春（はちや ちはる）,アイカツフレンズ!,
針生 六四郎（はりゅう むしろう）,アイカツフレンズ!,
平田 ひまり（ひらた ひまり）,アイカツフレンズ!,
井上 いろは（いのうえ いろは）,アイカツフレンズ!,
野々村 ののは（ののむら ののは）,アイカツフレンズ!,
月野 ツカサ（つきの ツカサ）,アイカツフレンズ!,
雪村 柚姫（ゆきむら ゆずき）,アイカツフレンズ!,
歌川 うらら（うたがわ うらら）,アイカツフレンズ!,
海老原 なこ（えびはら なこ）,アイカツフレンズ!,
仁科 にこ（にしな にこ）,アイカツフレンズ!,
伊勢 涼香（いせ すずか）,アイカツフレンズ!,
紫面道 ノア（しめんどう ノア）,アイカツフレンズ!,
南野監督,アイカツフレンズ!,
角野助監督,アイカツフレンズ!,
ムッシュ・ザックバラン,アイカツフレンズ!,
能登 かがみ（のと かがみ）,アイカツフレンズ!,
赤羽隼人（あかば はやと・2年）,アイシールド21,5
佐々木コータロー（ささき コータロー・2年）,アイシールド21,
堺（さかい・3年）,アイシールド21,
キックチームキャプテン,アイシールド21,
沢井ジュリ（さわい ジュリ・2年）,アイシールド21,
倉敷卓人（くらしき たくと）,アイシールド21,
筧駿（かけい しゅん・1年）,アイシールド21,
水町健悟（みずまち けんご・1年）,アイシールド21,
小判鮫オサム（こばんざめ オサム・3年）,アイシールド21,
大平洋（おおひら ひろし・1年）,アイシールド21,
大西洋（おおにし ひろし・1年）,アイシールド21,
飯清仁（はんきよ ひとし・2年）,アイシールド21,
渋谷摩季（しぶや まき・1年）,アイシールド21,
乙姫（おとひめ）,アイシールド21,
浦島（うらしま）,アイシールド21,
葉柱ルイ（はばしら ルイ・2年）,アイシールド21,
足塚猛（あしづか たける・2年）,アイシールド21,
蛇井級太郎（へびい きゅうたろう・2年）,アイシールド21,
火野玉男（ひの たまお・1年）,アイシールド21,
荒戸錠（あらと じょう・1年）,アイシールド21,
浜口漣（はまぐち れん・1年）,アイシールド21,
山田幸運（やまだ よしかず）,アイシールド21,
露峰メグ（つゆみね メグ・2年）,アイシールド21,
山本鬼兵（やまもと おにへい・3年）,アイシールド21,
金串佐助（かなぐし さすけ・2年）,アイシールド21,
熱海大介（あつみ だいすけ・3年）,アイシールド21,
亜津井（あつい）,アイシールド21,
紺上勝子（こんじょう かつこ・2年）,アイシールド21,
中川,アイシールド21,
胸肩厚（むなかた あつし・3年）,アイシールド21,
青柳卓（あおやなぎ すぐる・2年）,アイシールド21,
伯井菜明日（はくい なあす・3年）,アイシールド21,
角口直角（かどぐち なおすみ）,アイシールド21,
初條薫（はつじょう かおる・2年）,アイシールド21,
道脇ガイロ（みちわき ガイロ）,アイシールド21,
芦スパイク（あし スパイク）,アイシールド21,
袋小路覇丸（ふくろこうじ はまる）,アイシールド21,
煙野ヤニー（けむりの ヤニー）,アイシールド21,
原尾王成（はらお きみなり・3年）,アイシールド21,
番場衛（バンバ マモル・3年）,アイシールド21,
笠松新信（かさまつ にいのぶ・3年）,アイシールド21,
鎌車ケン（かまぐるま ケン・1年）,アイシールド21,
白田黒澄（しろだ くろすみ・2年）,アイシールド21,
円子令司（まるこ れいじ・1年）,アイシールド21,
峨王力哉（がおう りきや・1年）,アイシールド21,
如月ヒロミ（きさらぎ ヒロミ・1年）,アイシールド21,
天狗花隆（てんぐ はなたか・3年）,アイシールド21,
三ツ井三郎（みつい さぶろう）,アイシールド21,
氷室丸子（ひむろ まるこ・3年）,アイシールド21,
狼谷大牙（かみや たいが）,アイシールド21,
岩重ガンジョー（いわしげ ガンジョー・2年）,アイシールド21,
大和猛（やまと たける・1年）,アイシールド21,
本庄鷹（ほんじょう たか・1年）,アイシールド21,
小泉花梨（こいずみ かりん・1年）,アイシールド21,
平良呉二（へら くれじ・3年）,アイシールド21,
安芸礼介（あき れいすけ・2年）,アイシールド21,
渡嘉敷織男（とかしき オリオ・3年）,アイシールド21,
佐野ミコト（さの ミコト・3年）,アイシールド21,
天間童次郎（てんま どうじろう・3年）,アイシールド21,
布袋福助（ほてい ふくすけ・3年）,アイシールド21,
棘田キリオ（いばらだ キリオ・3年）,アイシールド21,
パトリック・スペンサー（Patrick Spencer）,アイシールド21,
ホーマー・フィッツジェラルド（Hormer Fitzgeyrald）,アイシールド21,
ジェレミー・ワット（Jeremy Watt）,アイシールド21,
ニーサン・ゴンザレス,アイシールド21,
オットー・ゴンザレス,アイシールド21,
レオナルド・アポロ,アイシールド21,
ヒラリー,アイシールド21,
モーガン,アイシールド21,
ジミィ・シマール,アイシールド21,
アルマジロズのオーナー,アイシールド21,
試験官,アイシールド21,
謎の包帯男,アイシールド21,
中坊明（なかぼう あきら）,アイシールド21,
クリフォード・D・ルイス,アイシールド21,
ドナルド・オバーマン,アイシールド21,
バッド・ウォーカー,アイシールド21,
タタンカ,アイシールド21,
ハインリッヒ・シュルツ,アイシールド21,
モンティ・ゴメリー,アイシールド21,
パーンズ,アイシールド21,
イヴァン・ロドチェンコ,アイシールド21,
花田（はなだ）,アイシールド21,
葉柱斗影（はばしら とかげ）,アイシールド21,
角屋敷吉海（かどやしき よしみ）,アイシールド21,
中鉄矢（あたり てつや）,アイシールド21,
在刈泉（あるかり いずみ）,アイシールド21,
厚木小五郎（あつき こごろう）,アイシールド21,
近藤猛（こんどう たけし）,アイシールド21,
近藤進（こんどう すすむ）,アイシールド21,
越津代史（こし つよし）,アイシールド21,
三角金八（みすみ かねはち）,アイシールド21,
武田（たけだ）,アイシールド21,
小早川秀馬（こばやかわ しゅうま）,アイシールド21,
小早川美生（こばやかわ みはえ）,アイシールド21,
姉崎真美（あねざき まみ）,アイシールド21,
ヒル魔幽也,アイシールド21,
栗田空海（くりた くうかい）,アイシールド21,
雷門花子（らいもん はなこ）,アイシールド21,
小結豪喜（こむすび ごうき）,アイシールド21,
小結福恵（こむすび ふくえ）,アイシールド21,
雪光輝（ゆきみつ あかり）,アイシールド21,
雪光蛍（ゆきみつ ほたる）,アイシールド21,
十文字襟人（じゅうもんじ えりと）,アイシールド21,
武蔵半左衛門（たけくら はんざえもん）,アイシールド21,
瀧雪路（たき ゆきじ）,アイシールド21,
小暮聖紀（こぐれ まさのり）,アイシールド21,
古屋（ふるや）,アイシールド21,
白神（しらかみ）,アイシールド21,
西村（にしむら）,アイシールド21,
野球部の監督,アイシールド21,
海堂洋（かいどう ひろし）,アイシールド21,
矢地馬之助（やじ うまのすけ）,アイシールド21,
三宅成（みやけ なる）,アイシールド21,
舞茸（まいたけ）,アイシールド21,
室サトシ（むろ サトシ）,アイシールド21,
咲蘭（さら）,アイシールド21,
末友アコ,アイシールド21,
体育祭実行委員長,アイシールド21,
泥門高校のオタク生徒達,アイシールド21,
本庄勝（ほんじょう まさる）,アイシールド21,
桜庭の母,アイシールド21,
王城の校医,アイシールド21,
干徳ラブ（ほすとく ラブ）,アイシールド21,
武者小路一（むしゃのこうじ はじめ）,アイシールド21,
鉄馬の父,アイシールド21,
葉柱蝮（はばしら まむし）,アイシールド21,
葉柱やもり（はばしら やもり）,アイシールド21,
ガキ大将,アイシールド21,
胸肩の両親,アイシールド21,
気絶した子,アイシールド21,
初條の彼女,アイシールド21,
飯華めいら（いいか めいら・3年）,アイシールド21,
作村義治（さくむら よしじ）,アイシールド21,
岩重ガンジョーの師匠,アイシールド21,
雲水と阿含の父,アイシールド21,
麻黄中の教頭,アイシールド21,
麻黄中校長,アイシールド21,
麻黄中の運動部員達,アイシールド21,
安藤パー子（あんどう パーこ）,アイシールド21,
ミラクル伊藤（ミラクル いとう）,アイシールド21,
岡（おか）,アイシールド21,
難波虎吉（なんば とらきち）,アイシールド21,
熊袋（くまぶくろ）,アイシールド21,
月刊アメフト編集長,アイシールド21,
マシンガン真田（マシンガン さなだ）,アイシールド21,
関東アメフト協会理事長,アイシールド21,
玉八（たまはち）,アイシールド21,
熊袋リコ（くまぶくろ リコ）,アイシールド21,
春子（はるこ）、夏代（なつよ）、秋江（あきえ）,アイシールド21,
鳩原純一郎（はとはら じゅんいちろう）,アイシールド21,
ゲンナリ君,アイシールド21,
北江杉代（きたえ すぎよ）,アイシールド21,
北江泰蔵（きたえ たいぞう）,アイシールド21,
門伝桝乃（もんでん ますの）,アイシールド21,
高梨博人（たかなし ひろと）,アイシールド21,
アーノルド・オバーマン,アイシールド21,
ガンショップの店長,アイシールド21,
セクシークィーンズ,アイシールド21,
サイモン,アイシールド21,
牛,アイシールド21,
バイク軍団,アイシールド21,
オックス、タイガー,アイシールド21,
パンサーのばあちゃん,アイシールド21,
ノリエガ,アイシールド21,
ビッグベア,アイシールド21,
ジョンソン,アイシールド21,
ボブ&サリー&ジョン,アイシールド21,
東野（藤田） 五十鈴,愛してナイト,6
北大路良太郎,愛してナイト,
三田村 八重子,愛してナイト,
加藤 剛,愛してナイト,
加藤 橋蔵,愛してナイト,
ジュリアーノ,愛してナイト,
八重子の父（三田村 しげまろ）,愛してナイト,
大川 里美,愛してナイト,
藤木,愛してナイト,
東野 英次,愛してナイト,
梶原 芽衣子,愛してナイト,
藤田 五十鈴,愛してナイト,
杉,愛してナイト,
片倉結平（かたくら きっぺい）,愛してるぜベイベ★★,7
坂下ゆずゆ（さかした ゆずゆ）,愛してるぜベイベ★★,
片倉鈴子（かたくら れいこ）,愛してるぜベイベ★★,
片倉皐（かたくら さつき）,愛してるぜベイベ★★,
片倉三沙子（かたくら みさこ）,愛してるぜベイベ★★,
片倉栄一（かたくら えいいち）,愛してるぜベイベ★★,
坂下都（さかした みやこ）,愛してるぜベイベ★★,
坂下憲明（さかした のりあき）,愛してるぜベイベ★★,
坂下ミキ（さかした ミキ）,愛してるぜベイベ★★,
徳永心（とくなが こころ）,愛してるぜベイベ★★,
元木舞（もとき まい）,愛してるぜベイベ★★,
鏡亜希（かがみ あき）,愛してるぜベイベ★★,
ナツミ,愛してるぜベイベ★★,
田端芯（たばた しん）,愛してるぜベイベ★★,
土屋和博（つちや かずひろ）,愛してるぜベイベ★★,
大賀あかり（おおが あかり）,愛してるぜベイベ★★,
板垣（いたがき）,愛してるぜベイベ★★,
恩田恭子（おんだ きょうこ）,愛してるぜベイベ★★,
三田,愛してるぜベイベ★★,
健くん,愛してるぜベイベ★★,
まりか,愛してるぜベイベ★★,
梨谷翔太（なしや しょうた）,愛してるぜベイベ★★,
大賀綾（おおが あや）,愛してるぜベイベ★★,
久保田あゆみ（くぼた あゆみ）,愛してるぜベイベ★★,
ポリアンナ・フィティア,愛少女ポリアンナ物語,8
パレー・ハリントン,愛少女ポリアンナ物語,
ジミー・ビーン / ジミー・ペンデルトン,愛少女ポリアンナ物語,
ジョン・ペンデルトン,愛少女ポリアンナ物語,
トーマス・チルトン,愛少女ポリアンナ物語,
ナンシー・ハートレー,愛少女ポリアンナ物語,
ジョン・フィティア,愛少女ポリアンナ物語,
ジェニー・フィティア,愛少女ポリアンナ物語,
ジェレマイア・O・ハリントン,愛少女ポリアンナ物語,
エリサベス・H・ハリントン,愛少女ポリアンナ物語,
ティモシー・ペイソン,愛少女ポリアンナ物語,
トム・ペイソン,愛少女ポリアンナ物語,
ダルギン・ペイソン,愛少女ポリアンナ物語,
