キャラクター,タイトル,
椿（つばき）,ヴァイスクロイツ,
紫苑（しおん）,ヴァイスクロイツ,
竜胆（りんどう）,ヴァイスクロイツ,
菖蒲（あやめ）,ヴァイスクロイツ,
薊（あざみ）,ヴァイスクロイツ,
中津川亨輔（なかつがわ きょうすけ）,ヴァイスクロイツ,
榊凰華（さかき おうか）,ヴァイスクロイツ,
巴さくら（ともえ さくら）,ヴァイスクロイツ,
藤宮彩（ふじみや あや）,ヴァイスクロイツ,
百恵（ももえ）,ヴァイスクロイツ,
火花カオリ（ひばな カオリ）,ヴァイスクロイツ,
火花アキラ（ひばな アキラ）,ヴァイスクロイツ,
柏木由紀恵（かしわぎ ゆきえ）,ヴァイスクロイツ,
田中アカネ（たなか アカネ）,ヴァイスクロイツ,
結城レイナ（ゆうき レイナ）,ヴァイスクロイツ,
レイモンド・ニコル大佐,ヴァイスクロイツ,
ノーマン・パウエル将軍,ヴァイスクロイツ,
ラッツ部隊,ヴァイスクロイツ,
セナ,ヴァイスクロイツ,
キョウ,ヴァイスクロイツ,
レックス,ヴァイスクロイツ,
鷹取斎上（たかとり さいじょう）,ヴァイスクロイツ,
藤堂聖（とうどう ひじり）,ヴァイスクロイツ,
児玉ミサキ（こだま ミサキ）,ヴァイスクロイツ,
希美（のぞみ）,ヴァイスクロイツ,
稲垣（いながき）,ヴァイスクロイツ,
辻井（つじい）,ヴァイスクロイツ,
浅見（あさみ）,ヴァイスクロイツ,
狭霧（さぎり）,ヴァイスクロイツ,
翠霞（すいか）,ヴァイスクロイツ,
如月文江（きさらぎ ふみえ）,ヴァイスクロイツ,
霜島征人（しもじま まさと）,ヴァイスクロイツ,
ナイト,ヴァイスクロイツ,
ルーク,ヴァイスクロイツ,
ビショップ,ヴァイスクロイツ,
ポーン,ヴァイスクロイツ,
クイーン,ヴァイスクロイツ,
ベルカー,ヴァイスクロイツ,
ガイゼル,ヴァイスクロイツ,
レイラ,ヴァイスクロイツ,
クリプトン・リチャード,ヴァイスクロイツ,
三尋木 ナナ（みひろぎ ナナ）,ヴァイスクロイツ,
ユキ,ヴァイスクロイツ,
クロエ,ヴァイスクロイツ,
ミシェル,ヴァイスクロイツ,
フリー,ヴァイスクロイツ,
アリスン,ヴァイスクロイツ,
アカガワ,ヴァイスクロイツ,
ドクターD,ヴァイスクロイツ,
新城 くるみ（しんじょう くるみ）,ヴァイスクロイツ,
ヒビキ・トカイ,ヴァンドレッド,2
バート・ガルサス,ヴァンドレッド,
ドゥエロ・マクファイル,ヴァンドレッド,
ディータ・リーベライ,ヴァンドレッド,
メイア・ギズボーン,ヴァンドレッド,
ジュラ・ベーシル・エルデン,ヴァンドレッド,
バーネット・オランジェロ,ヴァンドレッド,
ガスコーニュ・ラインガウ,ヴァンドレッド,
パルフェ・バルブレア,ヴァンドレッド,
パイウェイ・ウンダーベルグ,ヴァンドレッド,
エズラ・ヴィエーユ,ヴァンドレッド,
カルーア,ヴァンドレッド,
マグノ・ビバン,ヴァンドレッド,
ブザム・A・カレッサ（浦霞天明）,ヴァンドレッド,
アマローネ・スランジーバ,ヴァンドレッド,
ベルヴェデール・ココ,ヴァンドレッド,
セルティック・ミドリ,ヴァンドレッド,
ピョロ,ヴァンドレッド,
ミスティ・コーンウェル,ヴァンドレッド,
Qちゃん,ヴァンドレッド,
レベッカ,ヴァンドレッド,
バロア,ヴァンドレッド,
テンホウ・ミホソラ,ヴァンドレッド,
アスラ・ミューティ,ヴァンドレッド,
ペークシス・プラグマ,ヴァンドレッド,
グラン・パ,ヴァンドレッド,
ジン,ヴァンドレッド,
トドロキ艦長,ヴァンドレッド,
キュンメル・大関（- おおぜき）,ヴァンドレッド,
グラン・マ,ヴァンドレッド,
メイアのオーマ,ヴァンドレッド,
メイアのファーマ,ヴァンドレッド,
ラバット,ヴァンドレッド,
ウータン,ヴァンドレッド,
ココベリ,ヴァンドレッド,
リズ,ヴァンドレッド,
セラン,ヴァンドレッド,
シャーリー,ヴァンドレッド,
地球人（本名不明）,ヴァンドレッド,
ヴァンドレッド合体形態,ヴァンドレッド,
ヴァンドレッド・ディータ（蒼い巨人）,ヴァンドレッド,
ヴァンドレッド・メイア（白い翼）,ヴァンドレッド,
ヴァンドレッド・ジュラ（紅い爪）,ヴァンドレッド,
スーパーロボット大戦X-Ω,ヴァンドレッド,
黒主 優姫（くろす ゆうき）・玖蘭 優姫（くらん ゆうき）,ヴァンパイア騎士,2
錐生 零（きりゅう ぜろ）,ヴァンパイア騎士,
玖蘭 枢（くらん かなめ）,ヴァンパイア騎士,
一条 拓麻（いちじょう たくま）,ヴァンパイア騎士,
藍堂 英（あいどう はなぶさ）,ヴァンパイア騎士,
架院 暁（かいん あかつき）,ヴァンパイア騎士,
支葵 千里（しき せんり）,ヴァンパイア騎士,
早園 瑠佳（そうえん るか）,ヴァンパイア騎士,
遠矢 莉磨（とおや りま）,ヴァンパイア騎士,
星煉（せいれん）,ヴァンパイア騎士,
若葉 沙頼（わかば さより）,ヴァンパイア騎士,
影山 霞（かげやま かすみ）,ヴァンパイア騎士,
新藤 撫子（しんどう なでしこ）,ヴァンパイア騎士,
如月 風花（きさらぎ ふうか）,ヴァンパイア騎士,
黒主 灰閻（くろす かいえん）,ヴァンパイア騎士,
ハンター協会長,ヴァンパイア騎士,
夜刈 十牙（やがり とおが）,ヴァンパイア騎士,
鷹宮 海斗（たかみや かいと）,ヴァンパイア騎士,
玖蘭 李土（くらん りど）,ヴァンパイア騎士,
玖蘭 悠（くらん はるか）,ヴァンパイア騎士,
玖蘭 樹里（くらん じゅり）,ヴァンパイア騎士,
白蕗 更（しらぶき さら）,ヴァンパイア騎士,
一条 麻遠（いちじょう あさとお）,ヴァンパイア騎士,
緋桜 閑（ひおう しずか）,ヴァンパイア騎士,
錐生 壱縷（きりゅう いちる）,ヴァンパイア騎士,
紅 まり亜（くれない まりあ）,ヴァンパイア騎士,
多華宮 仄（たかみや ほのか）,ウィッチクラフトワークス,2
白姫エヴァーミリオン（しろひめエヴァーミリオン）,ウィッチクラフトワークス,
火々里 綾火（かがり あやか）,ウィッチクラフトワークス,
多華宮 霞（たかみや かすみ）,ウィッチクラフトワークス,
摩訶ロン,ウィッチクラフトワークス,
火々里 かざね（かがり かざね）,ウィッチクラフトワークス,
お福,ウィッチクラフトワークス,
深影 栞（みかげ しおり）,ウィッチクラフトワークス,
氷尾 真冬（ひお まふゆ）,ウィッチクラフトワークス,
ローランとウィネ,ウィッチクラフトワークス,
アルシナ,ウィッチクラフトワークス,
氷尾 凍子（ひお とうこ）,ウィッチクラフトワークス,
乙女橘 りのん（おとめたちばな りのん）,ウィッチクラフトワークス,
深影 棗（みかげ なつめ）,ウィッチクラフトワークス,
昏峰 あとり（くらみね あとり）,ウィッチクラフトワークス,
クロノワールシュヴァルツ・シックス,ウィッチクラフトワークス,
鰐紳士,ウィッチクラフトワークス,
メデューサ,ウィッチクラフトワークス,
ウィークエンド,ウィッチクラフトワークス,
ジブラルタアル,ウィッチクラフトワークス,
ニーチ,ウィッチクラフトワークス,
メテオラ,ウィッチクラフトワークス,
エヴォーク,ウィッチクラフトワークス,
KMM団,ウィッチクラフトワークス,
倉石 たんぽぽ（くらいし たんぽぽ）,ウィッチクラフトワークス,
目野輪 冥（めのわ めい）,ウィッチクラフトワークス,
飾 鈴（かざり りん）,ウィッチクラフトワークス,
宇津木 環那（うつぎ かんな）,ウィッチクラフトワークス,
桂 虎徹（かつら こてつ）,ウィッチクラフトワークス,
星組,ウィッチクラフトワークス,
あい,ウィッチクラフトワークス,
まい,ウィッチクラフトワークス,
みい,ウィッチクラフトワークス,
深影 恭一郎（みかげ きょういちろう）,ウィッチクラフトワークス,
鬼灯 火苗（ほおずき かなえ）,ウィッチクラフトワークス,
田沼 佳子（たぬま よしこ）,ウィッチクラフトワークス,
生徒会長,ウィッチクラフトワークス,
多華宮 小町（たかみや こまち）,ウィッチクラフトワークス,
火々里 火陽（かがり かよう）,ウィッチクラフトワークス,
キオラパメラ,ウィッチクラフトワークス,
瀬名ロビン（せな ロビン）,ウィッチハンターロビン,2
亜門（あもん）,ウィッチハンターロビン,
烏丸美穂（からすま みほ）,ウィッチハンターロビン,
堂島百合香（どうじま ゆりか）,ウィッチハンターロビン,
榊晴人（さかき はると）,ウィッチハンターロビン,
マイケル・リー,ウィッチハンターロビン,
小坂慎太郎（こさか しんたろう）,ウィッチハンターロビン,
服部庄平（はっとり しょうへい）,ウィッチハンターロビン,
守衛,ウィッチハンターロビン,
財前琢磨（ざいぜん たくま）,ウィッチハンターロビン,
真崎瞳子（まさき とうこ）,ウィッチハンターロビン,
マスター,ウィッチハンターロビン,
凪羅俊司（なぎら しゅんじ）,ウィッチハンターロビン,
花村美加（はなむら みか）,ウィッチハンターロビン,
メトセラ,ウィッチハンターロビン,
コーション（異端審問官）,ウィッチハンターロビン,
ジュリアーノ神父,ウィッチハンターロビン,
ウィッチ,ウィッチハンターロビン,
ウィッチハンター,ウィッチハンターロビン,
シード,ウィッチハンターロビン,
トルフィン,ヴィンランド・サガ,2
アシェラッド,ヴィンランド・サガ,
クヌート,ヴィンランド・サガ,
レイフ（エイリークの子、レイフ）,ヴィンランド・サガ,
トールズ,ヴィンランド・サガ,
ヘルガ,ヴィンランド・サガ,
ユルヴァ,ヴィンランド・サガ,
ハーフダン,ヴィンランド・サガ,
アーレ,ヴィンランド・サガ,
フローキ,ヴィンランド・サガ,
ビョルン,ヴィンランド・サガ,
トルケル,ヴィンランド・サガ,
アスゲート,ヴィンランド・サガ,
トルグリム、アトリ,ヴィンランド・サガ,
ラグナル,ヴィンランド・サガ,
ヴィリバルド,ヴィンランド・サガ,
スヴェン,ヴィンランド・サガ,
グンナル,ヴィンランド・サガ,
ケティル,ヴィンランド・サガ,
エイナル,ヴィンランド・サガ,
オルマル,ヴィンランド・サガ,
トールギル,ヴィンランド・サガ,
パテール,ヴィンランド・サガ,
アルネイズ,ヴィンランド・サガ,
スヴェルケル,ヴィンランド・サガ,
奉公人たち,ヴィンランド・サガ,
ハラルド,ヴィンランド・サガ,
ウルフ,ヴィンランド・サガ,
トルフィン（ギョロ目）,ヴィンランド・サガ,
ガルザル,ヴィンランド・サガ,
グズリーズ,ヴィンランド・サガ,
シグルド,ヴィンランド・サガ,
カルリ,ヴィンランド・サガ,
ヒルド,ヴィンランド・サガ,
ヴァグン,ヴィンランド・サガ,
ガルム,ヴィンランド・サガ,
バルドル,ヴィンランド・サガ,
ユミル,ヴィンランド・サガ,
うーさー,うーさーのその日暮らし,2
りん,うーさーのその日暮らし,
れん,うーさーのその日暮らし,
ダスウサ,うーさーのその日暮らし,
ゆう,うーさーのその日暮らし,
名前を呼んではいけないあの動物,うーさーのその日暮らし,
みほ,うーさーのその日暮らし,
あじぽん,うーさーのその日暮らし,
お知らせうーさー,うーさーのその日暮らし,
メカウーサー,うーさーのその日暮らし,
中二先輩,うーさーのその日暮らし,
うーさーバスター,うーさーのその日暮らし,
ウーサーツイン,うーさーのその日暮らし,
着ぐるみうーさーさま,うーさーのその日暮らし,
ダスウサMk-II,うーさーのその日暮らし,
しゅうまいくん,うーさーのその日暮らし,
メロン熊,うーさーのその日暮らし,
ミルキィホームズ,うーさーのその日暮らし,
シャーロック・シェリンフォード,うーさーのその日暮らし,
譲崎ネロ,うーさーのその日暮らし,
エルキュール・バートン,うーさーのその日暮らし,
コーデリア・グラウカ,うーさーのその日暮らし,
ニセパンダ,うーさーのその日暮らし,
ミス・モノクローム,うーさーのその日暮らし,
イオナ,うーさーのその日暮らし,
どーにゃつ,うーさーのその日暮らし,
ニャンペローナ,うーさーのその日暮らし,
ツクモ,うーさーのその日暮らし,
神衣・鮮血,うーさーのその日暮らし,
赤嶺伊紅,うーさーのその日暮らし,
チェインバー,うーさーのその日暮らし,
ヴェーダ,うーさーのその日暮らし,
如月千早,うーさーのその日暮らし,
クマ,うーさーのその日暮らし,
モノクマ,うーさーのその日暮らし,
秋山優花里,うーさーのその日暮らし,
モノミ,うーさーのその日暮らし,
ピヨちゃん,うーさーのその日暮らし,
ウルティメイトフォースゼロ,うーさーのその日暮らし,
ウルトラマンゼロ,うーさーのその日暮らし,
ピグモン,うーさーのその日暮らし,
メトロン星人,うーさーのその日暮らし,
くらすけ,うーさーのその日暮らし,
アイドル町おこし計画スタッフ,うーさーのその日暮らし,
三ヶ月ゆい,うーさーのその日暮らし,
魚心くん,うーさーのその日暮らし,
アンジェラ・バルザック,うーさーのその日暮らし,
スピカ、スマ子,うーさーのその日暮らし,
霧の艦隊,うーさーのその日暮らし,
キリシマ,うーさーのその日暮らし,
ハルナ,うーさーのその日暮らし,
HIME,うーさーのその日暮らし,
謎の仮面の剣士,うーさーのその日暮らし,
女の子たち,うーさーのその日暮らし,
バルタン店長、カネゴン,うーさーのその日暮らし,
植木 耕助（うえき こうすけ）,うえきの法則,2
森 あい（もり あい）,うえきの法則,
佐野 清一郎（さの せいいちろう）,うえきの法則,
鈴子・ジェラード（りんこ・ジェラード）,うえきの法則,
宗屋 ヒデヨシ（そうや ヒデヨシ）,うえきの法則,
カプーショ,うえきの法則,
ニコ,うえきの法則,
ウーゴ,うえきの法則,
マリオ,うえきの法則,
グラノ,うえきの法則,
ペコル,うえきの法則,
ギタール,うえきの法則,
ムーニン,うえきの法則,
パステロ,うえきの法則,
マリリン・キャリー,うえきの法則,
マシュー,うえきの法則,
バロン,うえきの法則,
メモリー,うえきの法則,
プティング,うえきの法則,
バロウ・エシャロット,うえきの法則,
バン・ディクート,うえきの法則,
ディエゴスター,うえきの法則,
キルノートン,うえきの法則,
ロベルト・ハイドン,うえきの法則,
カール・P・アッチョ / カルパッチョ,うえきの法則,
明神 太郎（みょうじん たろう）,うえきの法則,
多治海四郎,うえきの法則,
鬼（おに）,うえきの法則,
ベッキー・ウォルフ,うえきの法則,
マルコ・マルディーニ,うえきの法則,
ドン,うえきの法則,
アレッシオ・ユリアーノ,うえきの法則,
カムイ＝ロッソ / 白影（しろかげ）,うえきの法則,
黒木 影男（くろき かげお） / 黒影（くろかげ）,うえきの法則,
ノマール・カルライン,うえきの法則,
佐野清一郎&鈴子・ジェラード,うえきの法則,
カバラ,うえきの法則,
ユンパオ,うえきの法則,
李崩（りほう）,うえきの法則,
平 丸男（たいら まるお）,うえきの法則,
足立 駿夫（あだち はやお）,うえきの法則,
山田 八十吉（やまだ やそきち）,うえきの法則,
馬場 淳一（ばば じゅんいち） / B・J（ビー・ジェー）,うえきの法則,
ボーロ・T,うえきの法則,
鬼山紋次郎（おにやま もんじろう）,うえきの法則,
神楽（かぐら）,うえきの法則,
コバセン / 小林先生（こばやしせんせい）,うえきの法則,
ワンコ / 犬丸（いぬまる）,うえきの法則,
よっちゃん / 淀川（よどがわ）,うえきの法則,
ネロ,うえきの法則,
マーガレット,うえきの法則,
ザック,うえきの法則,
ガンジ,うえきの法則,
ミケ,うえきの法則,
ラファティ,うえきの法則,
足立の神候補,うえきの法則,
神様,うえきの法則,
パグ,うえきの法則,
神の遣い（神補佐）,うえきの法則,
鈴木 桜（すずき さくら）,うえきの法則,
黒岩（くろいわ）,うえきの法則,
花村たまこ,うえきの法則,
五田（ごだ）,うえきの法則,
日比木フクスケ（ひびき フクスケ）,うえきの法則,
風鈴市の大魔王（ふうりんしのだいまおう）,うえきの法則,
黒木 照男（くろき てるお）,うえきの法則,
院長（いんちょう）,うえきの法則,
ケンタロウ,うえきの法則,
植木 源五郎（うえき げんごろう）,うえきの法則,
植木 翔子（うえき しょうこ）,うえきの法則,
植木 春子（うえき はるこ）,うえきの法則,
森の父,うえきの法則,
オッサン,うえきの法則,
かかしの大吾,うえきの法則,
ゴン爺（ゴンじい）,うえきの法則,
山田（やまだ）,うえきの法則,
鈴原（すずはら）,うえきの法則,
テンコ,うえきの法則,
ナビ獣（ナビじゅう）,うえきの法則,
アノン,うえきの法則,
アノンの父親（偽マーガレット）,うえきの法則,
上野（うえの）,上野さんは不器用,2
田中（たなか）,上野さんは不器用,
山下（やました）,上野さんは不器用,
北長（きたなが）,上野さんは不器用,
西原（にしはら）,上野さんは不器用,
南峰（みなみね）,上野さんは不器用,
東川（うのがわ）,上野さんは不器用,
添木（そえぎ）,上野さんは不器用,
花森（はなもり）,上野さんは不器用,
錦辺（にしきべ）,上野さんは不器用,
田中 みずな（たなか みずな）,上野さんは不器用,
田中 よもぎ（たなか よもぎ）,上野さんは不器用,
上級生,上野さんは不器用,
ダッシュたん,上野さんは不器用,
ウエノ13号,上野さんは不器用,
タモン,上野さんは不器用,
河地大吉（かわち だいきち）,うさぎドロップ,2
鹿賀りん（かが りん）,うさぎドロップ,
二谷コウキ（にたに コウキ）,うさぎドロップ,
二谷ゆかり（にたに ゆかり）,うさぎドロップ,
鹿賀宋一（かが そういち）,うさぎドロップ,
吉井正子（よしい まさこ）,うさぎドロップ,
まゆき,うさぎドロップ,
河地健二（かわち けんじ）,うさぎドロップ,
河地幸子（旧姓・鹿賀）,うさぎドロップ,
河地カズミ,うさぎドロップ,
マミ,うさぎドロップ,
前田春子（まえだ はるこ）,うさぎドロップ,
前田秀幸（まえだ ひでゆき）,うさぎドロップ,
前田麗奈（まえだ れいな）,うさぎドロップ,
憲一,うさぎドロップ,
河村（川村）,うさぎドロップ,
日高,うさぎドロップ,
後藤さん（ごとうさん）,うさぎドロップ,
ゆう,うさぎドロップ,
黒髪ひげ,うさぎドロップ,
ノッポ,うさぎドロップ,
クルクル毛,うさぎドロップ,
織田,うさぎドロップ,
ノブ,うさぎドロップ,
ナベちん,うさぎドロップ,
さやか,うさぎドロップ,
みっちゃん（さやかパパ）,うさぎドロップ,
マコ,うさぎドロップ,
あっきー,うさぎドロップ,
梶川,うさぎドロップ,
竹内,うさぎドロップ,
内村,うさぎドロップ,
安原,うさぎドロップ,
相原紅璃（あいはら あかり）,うさぎドロップ,
相原徳也（あいはら とくや）,うさぎドロップ,
辰巳（たつみ）,うさぎドロップ,
キョウイチ,うさぎドロップ,
杉山由美子,うさぎドロップ,
秋山 奏（あきやま そう）,失われた未来を求めて,2
佐々木 佳織（ささき かおり）,失われた未来を求めて,
支倉 愛理（はせくら あいり）,失われた未来を求めて,
古川 ゆい（ふるかわ ゆい）,失われた未来を求めて,
華宮 凪沙（はなみや なぎさ）,失われた未来を求めて,
長船・KENNY・英太郎（おさふね けにー えいたろう）,失われた未来を求めて,
佐々木 詩織（ささき しおり),失われた未来を求めて,
深沢 花梨（ふかざわ かりん）,失われた未来を求めて,
会長,失われた未来を求めて,
山賀 寧子（やまが ねこ）,失われた未来を求めて,
小川 光憲（おがわ みつのり）,失われた未来を求めて,
東 八重子（あずま やえこ）,失われた未来を求めて,
本城 作之進（ほんじょう さくのしん）,失われた未来を求めて,
麗藤 光（れいとう ひかる）,失われた未来を求めて,
橘 一夏（たちばな いちか）,うた∽かた,2
黒城 舞夏（くろき まなつ）,うた∽かた,
多岐川 皐月（たきがわ さつき）,うた∽かた,
篁 蛍子（たかむら けいこ）,うた∽かた,
宗方 未知留（むなかた みちる）,うた∽かた,
藤堂 誓唯（とうどう せい）,うた∽かた,
藤堂 繪委（とうどう かい）,うた∽かた,
木暮 沙耶（こぐれ さや）,うた∽かた,
橘 泉水（たちばな いずみ）,うた∽かた,
橘 理人（たちばな まさひと）,うた∽かた,
神代P水無月（くましろ フェルプス じゅん）,うた∽かた,
シロ,うた∽かた,
日向 路子（ひなた みちこ）,うた∽かた,
中埜 徹（なかの とおる）,うた∽かた,
土岐邑臨（ときむら のぞむ）,うた∽かた,
宗方 瑠唯（むなかた るい）,うた∽かた,
紅樹 陽輔（あかぎ ようすけ）,うた∽かた,
白坂 美月（しらさか みつき）,うた∽かた,
白坂 志穂（しらさか しほ）,うた∽かた,
ナオ,うた∽かた,
フランスの少女,うた∽かた,
あの方,うた∽かた,
オンカミヤリュー族,うたわれるもの,2
ギリヤギナ族,うたわれるもの,
エヴェンクルガ族,うたわれるもの,
シャクコポル族,うたわれるもの,
ケナシコウルペ（皇：インカラ）,うたわれるもの,
トゥスクル（皇：ハクオロ）,うたわれるもの,
クッチャ・ケッチャ（皇：オリカカン）,うたわれるもの,
シケリペチム（皇：ニウェ）,うたわれるもの,
ナ・トゥンク（皇：スオンカス）,うたわれるもの,
ラルマニオヌ,うたわれるもの,
オンカミヤムカイ（皇：ワーベ）,うたわれるもの,
クンネカムン（皇：アムルリネウルカ・クーヤ）,うたわれるもの,
ノセシェチカ（皇：カンホルダリ）,うたわれるもの,
エルムイ（皇：ポナホイ）,うたわれるもの,
ハクオロ,うたわれるもの,
エルルゥ,うたわれるもの,
アルルゥ,うたわれるもの,
ムックル,うたわれるもの,
ガチャタラ,うたわれるもの,
オボロ,うたわれるもの,
ユズハ,うたわれるもの,
ドリィ、グラァ,うたわれるもの,
ウルトリィ,うたわれるもの,
カミュ,うたわれるもの,
ベナウィ,うたわれるもの,
クロウ,うたわれるもの,
カルラ,うたわれるもの,
トウカ,うたわれるもの,
トゥスクル,うたわれるもの,
テオロ,うたわれるもの,
ソポク,うたわれるもの,
ウゥハムタム,うたわれるもの,
ヤァプ,うたわれるもの,
タァナクン,うたわれるもの,
ハクオロ（故人）,うたわれるもの,
カムチャタール,うたわれるもの,
ノポン,うたわれるもの,
ゴムタ,うたわれるもの,
ヌワンギ,うたわれるもの,
ササンテ,うたわれるもの,
インカラ,うたわれるもの,
チキナロ,うたわれるもの,
ワーベ,うたわれるもの,
ムント,うたわれるもの,
アムルリネウルカ・クーヤ,うたわれるもの,
サクヤ,うたわれるもの,
ゲンジマル,うたわれるもの,
ハウエンクア,うたわれるもの,
ヒエン,うたわれるもの,
ニウェ,うたわれるもの,
シケリペチム三人衆（エムロ、イナウシ、イコル）,うたわれるもの,
オリカカン,うたわれるもの,
ラクシャイン,うたわれるもの,
スオンカス,うたわれるもの,
デリホウライ,うたわれるもの,
カトゥマウ,うたわれるもの,
カンホルダリ,うたわれるもの,
ポナホイ,うたわれるもの,
ディー,うたわれるもの,
ムツミ,うたわれるもの,
ミコト,うたわれるもの,
アイスマン,うたわれるもの,
ミズシマ,うたわれるもの,
フー,うちの3姉妹,2
スー,うちの3姉妹,
チー,うちの3姉妹,
母（お母さん）＝松本ぷりっつ,うちの3姉妹,
父（お父さん）,うちの3姉妹,
モプシー,うちの3姉妹,
じいじ・ばあば,うちの3姉妹,
おーちゃん・あーちゃん,うちの3姉妹,
だいちゃん、けんちゃん一家,うちの3姉妹,
Eさん,うちの3姉妹,
キーちゃん,うちの3姉妹,
キーちゃんママ,うちの3姉妹,
ルミちゃん（原作ではRちゃん）,うちの3姉妹,
会長,うちの3姉妹,
バレーの先生,うちの3姉妹,
遊園地のお兄さん,うちの3姉妹,
ラティナ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,2
デイル・レキ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ケニス・クリューゲル,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
リタ・クリューゲル,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ジルヴェスター・デリウス,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
エイモス,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ボスコ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
セドリック,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ダグラス,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
クロエ・シュナイダー,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
シルビア・ファル,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ルドルフ・シュミット / ルディ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
マルセル,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
アントニー,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
スマラグディ / ラグ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
グラロス,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ヨーゼフ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ウーテ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
マーヤ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ヴェンデルガルド,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ランドルフ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
マクダ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ヨルク,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
フリーダ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
コルネリオ師父,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
クラリッサ,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ハーゲル,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
ヴィント,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,
