キャラクター,タイトル,
ガイタ,ハーメルンのバイオリン弾き,
ゴーン,ハーメルンのバイオリン弾き,
リラ,ハーメルンのバイオリン弾き,
ショウ,ハーメルンのバイオリン弾き,
スコア王国,ハーメルンのバイオリン弾き,
アンダンディーノ王国,ハーメルンのバイオリン弾き,
大魔王ケストラー,ハーメルンのバイオリン弾き,
冥法王（ヘル・キング）ベース,ハーメルンのバイオリン弾き,
オル・ゴール,ハーメルンのバイオリン弾き,
タタラ,ハーメルンのバイオリン弾き,
超獣王（ウォーリア・キング）ギータ,ハーメルンのバイオリン弾き,
チェロ,ハーメルンのバイオリン弾き,
グスレ,ハーメルンのバイオリン弾き,
マウス・ピース,ハーメルンのバイオリン弾き,
幻竜王（ドラゴン・キング）ドラム,ハーメルンのバイオリン弾き,
スティックス,ハーメルンのバイオリン弾き,
悪魔王（エビル・マスター）ピック,ハーメルンのバイオリン弾き,
クワイア=オルガン,ハーメルンのバイオリン弾き,
ヴォーカル,ハーメルンのバイオリン弾き,
アイリッシュ・ハーブ,ハーメルンのバイオリン弾き,
バラライカ,ハーメルンのバイオリン弾き,
チューバ,ハーメルンのバイオリン弾き,
バスーン,ハーメルンのバイオリン弾き,
ファゴット,ハーメルンのバイオリン弾き,
ヴァイ・オリン,ハーメルンのバイオリン弾き,
おねーちゃん（仮名）,ハーメルンのバイオリン弾き,
ビオラ,ハーメルンのバイオリン弾き,
ファイフ,ハーメルンのバイオリン弾き,
花売りの女の子,ハーメルンのバイオリン弾き,
チャイコフスキー,ハーメルンのバイオリン弾き,
ハープ先生,ハーメルンのバイオリン弾き,
船長,ハーメルンのバイオリン弾き,
タケノコ魔人タケノッコーン,ハーメルンのバイオリン弾き,
ポセイドン,ハーメルンのバイオリン弾き,
クルム,ハーメルンのバイオリン弾き,
レシク,ハーメルンのバイオリン弾き,
バーディ,ハーメルンのバイオリン弾き,
花村 紅緒（はなむら べにお）,はいからさんが通る,25
伊集院 忍（いじゅういん しのぶ）,はいからさんが通る,
藤枝 蘭丸（ふじえだ らんまる）,はいからさんが通る,
北小路 環（きたこうじ たまき）,はいからさんが通る,
花村（はなむら）少佐,はいからさんが通る,
ばあや,はいからさんが通る,
伊集院伯爵,はいからさんが通る,
伊集院伯爵夫人,はいからさんが通る,
如月（きさらぎ）,はいからさんが通る,
牛五郎（うしごろう）,はいからさんが通る,
天丸、地丸,はいからさんが通る,
サーシャ・ミハイロフ侯爵,はいからさんが通る,
ラリサ,はいからさんが通る,
エリナ・ミハイロブナ（ミハイロフ夫人）,はいからさんが通る,
狸小路（たぬきこうじ）伯爵,はいからさんが通る,
青江 冬星（あおえ とうせい）,はいからさんが通る,
袋小路 つめ子（ふくろこうじ つめこ）,はいからさんが通る,
古美 売太 (こび うりた）,はいからさんが通る,
辺面 岩男 (へつら いわお）,はいからさんが通る,
愛相 良雄(あいそ よしお）,はいからさんが通る,
高屋敷 要（たかやしき かなめ）,はいからさんが通る,
江戸川端 散歩（えどかわばた さんぽ）,はいからさんが通る,
鬼島 森吾（おにじま しんご）,はいからさんが通る,
印念（いんねん）中佐,はいからさんが通る,
大河内（おおこうち）中将,はいからさんが通る,
花乃屋 吉次（はなのや きちじ）,はいからさんが通る,
羅鈍のお定（らどんのおさだ）,はいからさんが通る,
青江父,はいからさんが通る,
青江母,はいからさんが通る,
日向 翔陽（ひなた しょうよう）,ハイキュー!!,25
影山 飛雄（かげやま とびお),ハイキュー!!,
澤村 大地（さわむら だいち）,ハイキュー!!,
菅原 孝支（すがわら こうし）,ハイキュー!!,
東峰 旭（あずまね あさひ）,ハイキュー!!,
西谷 夕（にしのや ゆう）,ハイキュー!!,
田中 龍之介（たなか りゅうのすけ）,ハイキュー!!,
縁下 力（えんのした ちから）,ハイキュー!!,
木下 久志（きのした ひさし）,ハイキュー!!,
成田 一仁（なりた かずひと）,ハイキュー!!,
月島 蛍（つきしま けい）,ハイキュー!!,
山口 忠（やまぐち ただし）,ハイキュー!!,
清水 潔子（しみず きよこ）,ハイキュー!!,
谷地 仁花（やち ひとか）,ハイキュー!!,
武田 一鉄（たけだ いってつ）,ハイキュー!!,
烏養 繋心（うかい けいしん）,ハイキュー!!,
烏養 一繋（うかい いっけい）,ハイキュー!!,
道宮 結（みちみや ゆい）,ハイキュー!!,
相原 真緒（あいはら まお）,ハイキュー!!,
佐々木 千鶴（ささき ちづる）,ハイキュー!!,
渡部 望（わたべ のぞみ）,ハイキュー!!,
菊池 萌（きくち もえ）,ハイキュー!!,
青木 真奈美（あおき まなみ）,ハイキュー!!,
須藤 凛子（すどう りんこ）,ハイキュー!!,
アヤ,ハイキュー!!,
宇内 天満（うだい てんま）,ハイキュー!!,
滝ノ上 祐輔（たきのうえ ゆうすけ）,ハイキュー!!,
嶋田 誠（しまだ まこと）,ハイキュー!!,
内沢 英紀（うちざわ ひでのり）,ハイキュー!!,
月島 明光（つきしま あきてる）,ハイキュー!!,
黒川 広樹（くろかわ ひろき）,ハイキュー!!,
田代 秀水（たしろ ひでみ）,ハイキュー!!,
田中 冴子（たなか さえこ）,ハイキュー!!,
森 行成（もり ゆきなり）,ハイキュー!!,
教頭,ハイキュー!!,
及川 徹（おいかわ とおる）,ハイキュー!!,
岩泉 一（いわいずみ はじめ）,ハイキュー!!,
松川 一静（まつかわ いっせい）,ハイキュー!!,
花巻 貴大（はなまき たかひろ）,ハイキュー!!,
渡 親治（わたり しんじ）,ハイキュー!!,
矢巾 秀（やはば しげる）,ハイキュー!!,
金田一 勇太郎（きんだいち ゆうたろう）,ハイキュー!!,
国見 英（くにみ あきら）,ハイキュー!!,
京谷 賢太郎（きょうたに けんたろう）,ハイキュー!!,
温田 兼生（ゆだ かねお）,ハイキュー!!,
沢内 求（さわうち もとむ）,ハイキュー!!,
志戸 平介（しど へいすけ）,ハイキュー!!,
入畑 伸照（いりはた のぶてる）,ハイキュー!!,
溝口 貞幸（みぞぐち さだゆき）,ハイキュー!!,
池尻 隼人（いけじり はやと）,ハイキュー!!,
駒木 輝（こまき ひかる）,ハイキュー!!,
茶屋 和馬（ちゃや かずま）,ハイキュー!!,
玉川 弘樹（たまがわ ひろき）,ハイキュー!!,
芳賀 良治（はが よしはる）,ハイキュー!!,
渋谷 陸斗（しぶや りくと）,ハイキュー!!,
桜井 大河（さくらい たいが）,ハイキュー!!,
青根 高伸（あおね たかのぶ）,ハイキュー!!,
二口 堅治（ふたくち けんじ）,ハイキュー!!,
小原 豊（おばら ゆたか）,ハイキュー!!,
茂庭 要（もにわ かなめ）,ハイキュー!!,
鎌先 靖志（かまさき やすし）,ハイキュー!!,
笹谷 武仁（ささや たけひと）,ハイキュー!!,
作並 浩輔（さくなみ こうすけ）,ハイキュー!!,
黄金川 貫至（こがねがわ かんじ）,ハイキュー!!,
女川 太郎（おながわ たろう）,ハイキュー!!,
吹上 仁悟（ふきあげ じんご）,ハイキュー!!,
滑津 舞（なめつ まい）,ハイキュー!!,
追分 拓朗（おいわけ たくろう）,ハイキュー!!,
十和田 良樹（とわだ よしき）,ハイキュー!!,
唐松 拓巳（からまつ たくみ）,ハイキュー!!,
田沢 裕樹（たざわ ゆうき）,ハイキュー!!,
森岳 歩（もりたけ あゆむ）,ハイキュー!!,
小安 颯真（おやす そうま）,ハイキュー!!,
夏瀬 伊吹（なつせ いぶき）,ハイキュー!!,
横手 駿（よこて しゅん）,ハイキュー!!,
秋宮 昇（あきみや のぼる）,ハイキュー!!,
二宮 新太郎（にのみや しんたろう）,ハイキュー!!,
百沢 雄大（ひゃくざわ ゆうだい）,ハイキュー!!,
古牧 譲（こまき ゆずる）,ハイキュー!!,
浅虫 快人（あさむし かいと）,ハイキュー!!,
温川 良明（ぬるかわ よしあき）,ハイキュー!!,
馬門 英治（まかど えいじ）,ハイキュー!!,
稲垣 功（いながき いさお）,ハイキュー!!,
南田 大志（みなみだ たいし）,ハイキュー!!,
榊原 五郎（さかきばら ごろう）,ハイキュー!!,
照島 遊児（てるしま ゆうじ）,ハイキュー!!,
母畑 和馬（ぼばた かずま）,ハイキュー!!,
二岐 丈春（ふたまた たけはる）,ハイキュー!!,
東山 勝道（ひがしやま かつみち）,ハイキュー!!,
沼尻 凛太郎（ぬまじり りんたろう）,ハイキュー!!,
飯坂 信義（いいざか のぶよし）,ハイキュー!!,
土湯 新（つちゆ あらた）,ハイキュー!!,
三咲 華（みさき はな）,ハイキュー!!,
栗林 るな（くりばやし るな）,ハイキュー!!,
奥岳 誠治（おくだけ せいじ）,ハイキュー!!,
穴原 孝昭（あなばら たかあき）,ハイキュー!!,
中島 猛（なかしま たける）,ハイキュー!!,
川渡 瞬己（かわたび しゅんき）,ハイキュー!!,
白石 優希（しろいし ゆうき）,ハイキュー!!,
花山 一雅（はなやま かずまさ）,ハイキュー!!,
鳴子 哲平（なるこ てっぺい）,ハイキュー!!,
秋保 和光（あきう かずてる）,ハイキュー!!,
松島 剛（まつしま つよし）,ハイキュー!!,
鬼首 正臣（おにこうべ まさおみ）,ハイキュー!!,
牛島 若利（うしじま わかとし）,ハイキュー!!,
大平 獅音（おおひら れおん）,ハイキュー!!,
天童 覚（てんどう さとり）,ハイキュー!!,
五色 工（ごしき つとむ）,ハイキュー!!,
白布 賢二郎（しらぶ けんじろう）,ハイキュー!!,
川西 太一（かわにし たいち）,ハイキュー!!,
山形 隼人（やまがた はやと）,ハイキュー!!,
瀬見 英太（せみ えいた）,ハイキュー!!,
湯野浜（ゆのはま）,ハイキュー!!,
添川 仁（そえかわ じん）,ハイキュー!!,
寒河江 勇将（さがえ ゆうしょう）,ハイキュー!!,
赤倉 櫂（あかくら かい）,ハイキュー!!,
鷲匠 鍛治（わしじょう たんじ）,ハイキュー!!,
斉藤 明（さいとう あきら）,ハイキュー!!,
黒石 純二（くろいし　じゅんじ）,ハイキュー!!,
天内 叶歌 （あまない かのか）,ハイキュー!!,
黒尾 鉄朗（くろお てつろう）,ハイキュー!!,
孤爪 研磨（こづめ けんま）,ハイキュー!!,
海 信行（かい のぶゆき）,ハイキュー!!,
夜久 衛輔（やく もりすけ）,ハイキュー!!,
山本 猛虎（やまもと たけとら）,ハイキュー!!,
福永 招平（ふくなが しょうへい）,ハイキュー!!,
犬岡 走（いぬおか そう）,ハイキュー!!,
手白 球彦（てしろ たまひこ）,ハイキュー!!,
灰羽 リエーフ（はいば りえーふ）,ハイキュー!!,
芝山 優生（しばやま ゆうき）,ハイキュー!!,
猫又 育史（ねこまた やすふみ）,ハイキュー!!,
直井 学（なおい まなぶ）,ハイキュー!!,
木兎 光太郎（ぼくと こうたろう）,ハイキュー!!,
赤葦 京治（あかあし けいじ）,ハイキュー!!,
木葉 秋紀（このは あきのり）,ハイキュー!!,
鷲尾 辰生（わしお たつき）,ハイキュー!!,
猿杙 大和（さるくい やまと）,ハイキュー!!,
小見 春樹（こみ はるき）,ハイキュー!!,
尾長 渉（おなが わたる）,ハイキュー!!,
穴掘 秀一（あなほり しゅういち）,ハイキュー!!,
雀田 かおり（すずめだ かおり）,ハイキュー!!,
白福 雪絵（しろふく ゆきえ）,ハイキュー!!,
夜中 司（よなか つかさ）/ 闇路 建行（やみじ たけゆき）,ハイキュー!!,
滝沢 良文（たきざわ よしふみ）,ハイキュー!!,
大将 優（だいしょう すぐる）,ハイキュー!!,
高千穂 恵也（たかちほ よしや）,ハイキュー!!,
広尾 倖児（ひろお こうじ）,ハイキュー!!,
先島 伊澄（さきしま いすみ）,ハイキュー!!,
赤間 颯（あかま そう）,ハイキュー!!,
背黒 晃彦（せぐろ あきひこ）,ハイキュー!!,
沼井 和馬（ぬまい かずま）,ハイキュー!!,
潜 尚保（くぐり なおやす）,ハイキュー!!,
大水 清心（おおみず きよし）,ハイキュー!!,
佐久早 聖臣（さくさ きよおみ）,ハイキュー!!,
古森 元也（こもり もとや）,ハイキュー!!,
小鹿野 大樹（おがの だいき）,ハイキュー!!,
千鹿谷 栄吉（ちがや えいきち）,ハイキュー!!,
名栗 翔太（なぐり しょうた）,ハイキュー!!,
島府 典明（しまふ のりあき）,ハイキュー!!,
吉川 和孝（よしかわ かずたか）,ハイキュー!!,
赤谷 勇（あかたに ゆう）,ハイキュー!!,
児玉 勝（こだま まさる）,ハイキュー!!,
大滝 真子（おおたき まこ）,ハイキュー!!,
笹川 良樹（ささがわ よしき）,ハイキュー!!,
荒川 晋平（あらかわ しんぺい）,ハイキュー!!,
強羅 昌己（ごうら まさき）,ハイキュー!!,
七沢 健吾（ななさわ けんご）,ハイキュー!!,
伊勢原 裕次（いせはら ゆうじ）,ハイキュー!!,
湯河 浩二（ゆかわ こうじ）,ハイキュー!!,
芦谷 洋平（あしや ようへい）,ハイキュー!!,
千石 伸吾（せんごく しんご）,ハイキュー!!,
中川 俊美（なかがわ としみ）,ハイキュー!!,
宮ノ下 英里（みやのした えり）,ハイキュー!!,
中崎 純一（なかざき じゅんいち）,ハイキュー!!,
秋田 洋介（あきた ようすけ）,ハイキュー!!,
越後 栄（えちご さかえ）,ハイキュー!!,
丸山 一喜（まるやま かずき）,ハイキュー!!,
寺泊 基希（てらどまり もとき）,ハイキュー!!,
舞子 侑志（まいこ ゆうし）,ハイキュー!!,
岩室 橙吾（いわむろ とうご）,ハイキュー!!,
当間 義友（あてま よしとも）,ハイキュー!!,
貝掛 亮文（かいかけ あきふみ）,ハイキュー!!,
姫川 葵（ひめかわ あおい）,ハイキュー!!,
月岡 千春（つきおか ちはる）,ハイキュー!!,
三川（みかわ）,ハイキュー!!,
大佐渡 巽（おおさど たつみ）,ハイキュー!!,
北 信介（きた しんすけ）,ハイキュー!!,
尾白 アラン（おじろ アラン）,ハイキュー!!,
銀島 結（ぎんじま ひとし）,ハイキュー!!,
宮 侑（みや あつむ）,ハイキュー!!,
宮 治（みや おさむ）,ハイキュー!!,
角名 倫太郎（すな りんたろう）,ハイキュー!!,
大耳 練（おおみみ れん）,ハイキュー!!,
赤木 路成（あかぎ みちなり）,ハイキュー!!,
小作 裕渡（こさく ゆうと）,ハイキュー!!,
理石 平介（りせき へいすけ）,ハイキュー!!,
黒須 法宗（くろす のりむね）,ハイキュー!!,
大見 太郎（おおみ たろう）,ハイキュー!!,
白峰 周（しらみね いたる）,ハイキュー!!,
金沢 伊織（かなざわ いおり）,ハイキュー!!,
志賀 智也（しが ともなり）,ハイキュー!!,
和倉 久彦（わくら ひさひこ）,ハイキュー!!,
深谷 謙朗（ふかたに けんろう）,ハイキュー!!,
山代 総司（やましろ そうじ）,ハイキュー!!,
輪島 友和（わじま ともかず）,ハイキュー!!,
鹿尾 有敬（ししお ありたか）,ハイキュー!!,
桐生 八（きりゅう わかつ）,ハイキュー!!,
臼利 満（うすり みちる）,ハイキュー!!,
雲南 恵介（うんなん けいすけ）,ハイキュー!!,
猯 望（まみ のぞむ）,ハイキュー!!,
蝦夷田 尚陽（えぞた なおはる）,ハイキュー!!,
本渡　昴（ほんど すばる）,ハイキュー!!,
尾新　春馬（びしん はるま）,ハイキュー!!,
九刷 みち子（くずり みちこ）,ハイキュー!!,
星海 光来（ほしうみ こうらい）,ハイキュー!!,
白馬 芽生（はくば がお）,ハイキュー!!,
諏訪（すわ）,ハイキュー!!,
野沢（のざわ）,ハイキュー!!,
昼神 幸朗（ひるがみ さちろう）,ハイキュー!!,
別所（べっしょ）,ハイキュー!!,
上林（かんばやし）,ハイキュー!!,
泉 行高（いずみ ゆきたか）,ハイキュー!!,
関向 幸治（せきむかい こうじ）,ハイキュー!!,
鈴木 幸也（すずき さいや）,ハイキュー!!,
川島 友喜（かわしま ゆうき）,ハイキュー!!,
森 達也（もり たつや）,ハイキュー!!,
玉山 純平（たまやま じゅんぺい）,ハイキュー!!,
長松 夢人（ながまつ ゆめと）,ハイキュー!!,
由良 正太（ゆら しょうた）,ハイキュー!!,
日向 夏（ひなた なつ）,ハイキュー!!,
及川 猛（おいかわ たける）,ハイキュー!!,
谷地 円（やち まどか）,ハイキュー!!,
赤井沢 剛（あかいさわ ごう）,ハイキュー!!,
星野 美加子（ほしの みかこ）,ハイキュー!!,
高橋 源五郎（たかはし げんごろう）,ハイキュー!!,
横山 静康（よこやま しずやす）,ハイキュー!!,
平間 あすか（ひらま あすか） / ハルカ,ハイキュー!!,
氏家 愛花（うじいえ まなか） / ユウコ,ハイキュー!!,
アカネ,ハイキュー!!,
清（きよし）,ハイキュー!!,
山本 あかね（やまもと あかね）,ハイキュー!!,
灰羽 アリサ（はいば アリサ）,ハイキュー!!,
山架 美華（やまか みか）,ハイキュー!!,
奥田 元太（おくだ げんた）,ハイキュー!!,
高梨 ひろみ（たかなし ひろみ）,ハイキュー!!,
寺田 浩二（てらだ こうじ）,ハイキュー!!,
小野寺 町子（おのでら まちこ）,ハイキュー!!,
木村 志乃（きむら しの）,ハイキュー!!,
梅沢 道子（うめざわ みちこ）,ハイキュー!!,
小笠原 大樹（おがさわら だいき）,ハイキュー!!,
小笠原 優（おがさわら ゆう）,ハイキュー!!,
星 倫太郎（ほし りんたろう）,ハイキュー!!,
緒方 陸（おがた りく）、菅野 拓（すがの たく）,ハイキュー!!,
雲雀田 吹（ひばりだ ふき）,ハイキュー!!,
火焼 呼太郎（ひたき こたろう）,ハイキュー!!,
中島 正義（なかしま まさよし）,ハイキュー!!,
中島 愛（なかしま あい）,ハイキュー!!,
中島 勇（なかしま いさむ）,ハイキュー!!,
中島 真（なかしま まこと）,ハイキュー!!,
中島 実（なかしま みのる）,ハイキュー!!,
中島 平（なかしま たいら）,ハイキュー!!,
兵藤 一誠（ひょうどう いっせい）,ハイスクールD×D,25
龍帝丸（りゅうていまる）,ハイスクールD×D,
リアス・グレモリー,ハイスクールD×D,
コウモリ,ハイスクールD×D,
アーシア・アルジェント,ハイスクールD×D,
ラッセー,ハイスクールD×D,
アンセルムス、キュリロス、グレゴリオス、シメオン,ハイスクールD×D,
姫島 朱乃（ひめじま あけの）,ハイスクールD×D,
小鬼（こおに）,ハイスクールD×D,
温羅（うら）,ハイスクールD×D,
茨木童子（いばらきどうじ）,ハイスクールD×D,
塔城 小猫（とうじょう こねこ）/ 塔城 白音（とうじょう しろね）,ハイスクールD×D,
シロ,ハイスクールD×D,
木場 祐斗（きば ゆうと）,ハイスクールD×D,
ゼノヴィア・クァルタ[注 32],ハイスクールD×D,
ファイナル・デスシーサー,ハイスクールD×D,
ギャスパー・ヴラディ,ハイスクールD×D,
ギャスパー・バロール,ハイスクールD×D,
ロスヴァイセ,ハイスクールD×D,
アザゼル,ハイスクールD×D,
紫藤 イリナ（しどう イリナ）,ハイスクールD×D,
レイヴェル・フェニックス,ハイスクールD×D,
リリス,ハイスクールD×D,
ルフェイ・ペンドラゴン[62],ハイスクールD×D,
ベンニーア[62],ハイスクールD×D,
イングヴィルド・レヴィアタン,ハイスクールD×D,
ビナー・レスザン,ハイスクールD×D,
ロイガン・ベルフェゴール,ハイスクールD×D,
ゼノヴィア・クァルタ,ハイスクールD×D,
紫藤 イリナ,ハイスクールD×D,
ボーヴァ・タンニーン,ハイスクールD×D,
百鬼 勾陳 黄龍（なきり こうちん おうりゅう）,ハイスクールD×D,
エルメンヒルデ・カルンスタイン,ハイスクールD×D,
塔城 小猫（とうじょう こねこ）,ハイスクールD×D,
ヴァスコ・ストラーダ,ハイスクールD×D,
リント・セルゼン,ハイスクールD×D,
ヴァレリー・ツェペシュ,ハイスクールD×D,
ミスター・ブラック,ハイスクールD×D,
デュリオ・ジェズアルド,ハイスクールD×D,
孫悟空（そんごくう）,ハイスクールD×D,
ソーナ・シトリー/ 支取 蒼那（しとり そうな）,ハイスクールD×D,
匙 元士郎（さじ げんしろう）,ハイスクールD×D,
真羅 椿姫（しんら つばき）,ハイスクールD×D,
由良 翼紗（ゆら つばさ）,ハイスクールD×D,
ルー・ガルー,ハイスクールD×D,
巡 巴柄（めぐり ともえ）,ハイスクールD×D,
ベンニーア,ハイスクールD×D,
花戒 桃（はなかい もも）,ハイスクールD×D,
草下 憐耶（くさか れや）,ハイスクールD×D,
仁村 留流子（にむら るるこ）,ハイスクールD×D,
サイラオーグ・バアル,ハイスクールD×D,
レグルス,ハイスクールD×D,
クイーシャ・アバドン,ハイスクールD×D,
ガンドマ・バラム,ハイスクールD×D,
ラードラ・ブネ,ハイスクールD×D,
ベルーガ・フールカス,ハイスクールD×D,
アルトブラウ,ハイスクールD×D,
リーバン・クロセル,ハイスクールD×D,
コリアナ・アンドレアルフス,ハイスクールD×D,
ミスティータ・サブノック,ハイスクールD×D,
シーグヴァイラ・アガレス,ハイスクールD×D,
アリヴィアン,ハイスクールD×D,
バフィール・フールカス,ハイスクールD×D,
グリゼルダ・クァルタ,ハイスクールD×D,
シーザー・ヴィリアーズ,ハイスクールD×D,
ディートヘルム・ヴァルトゼーミュラー,ハイスクールD×D,
ネロ・ライモンディ,ハイスクールD×D,
ミラナ・シャタロヴァ,ハイスクールD×D,
真羅 清虎（しんら きよとら）,ハイスクールD×D,
劉 炳煥（りゅう へいかん）,ハイスクールD×D,
イェシカ・ラーゲルクヴィスト,ハイスクールD×D,
ヴァーリ・ルシファー,ハイスクールD×D,
美猴（びこう）,ハイスクールD×D,
黒歌（くろか）/ 塔城 黒歌（とうじょう くろか）,ハイスクールD×D,
アーサー・ペンドラゴン,ハイスクールD×D,
ルフェイ・ペンドラゴン,ハイスクールD×D,
ゴグマゴグ,ハイスクールD×D,
沙悟浄（さごじょう）,ハイスクールD×D,
猪八戒（ちょはっかい）,ハイスクールD×D,
チャーシュー,ハイスクールD×D,
サラマンダー・富田,ハイスクールD×D,
幾瀬 鳶雄（いくせ とびお）,ハイスクールD×D,
浄壇使者（じょうだんししゃ）,ハイスクールD×D,
金身羅漢（こんしんらかん）,ハイスクールD×D,
加茂 忠美（かも ただみ）,ハイスクールD×D,
ミラーカ・ヴォルデンベルグ,ハイスクールD×D,
安倍 清芽（あべ きよめ）,ハイスクールD×D,
ノーヘッド本田（ノーヘッドほんだ）,ハイスクールD×D,
クリスティ,ハイスクールD×D,
エステリーナ,ハイスクールD×D,
高橋 輝空（たかはしスカイ）,ハイスクールD×D,
桐生 藍華（きりゅう あいか）,ハイスクールD×D,
火照 幸彦（ほでり ゆきひこ）,ハイスクールD×D,
九重（くのう）,ハイスクールD×D,
トスカ,ハイスクールD×D,
加茂 円保（かも みつほ）[93],ハイスクールD×D,
円野 球児（えんの きゅうじ）[94],ハイスクールD×D,
風祭 舞（かざまつり まい）[94],ハイスクールD×D,
土田 竜司（つちだ りゅうじ）[94],ハイスクールD×D,
水橋 将人（みずはし まさと）[94],ハイスクールD×D,
松田（まつだ）,ハイスクールD×D,
元浜（もとはま）,ハイスクールD×D,
村山（むらやま）、片瀬（かたせ）,ハイスクールD×D,
初瀬（はせ）,ハイスクールD×D,
サーゼクス・ルシファー,ハイスクールD×D,
セラフォルー・レヴィアタン,ハイスクールD×D,
アジュカ・ベルゼブブ,ハイスクールD×D,
ファルビウム・アスモデウス,ハイスクールD×D,
グレイフィア・ルキフグス,ハイスクールD×D,
スルト・セカンド,ハイスクールD×D,
バハムート,ハイスクールD×D,
マグレガー・メイザース,ハイスクールD×D,
沖田 総司（おきた そうじ）,ハイスクールD×D,
ベオウルフ,ハイスクールD×D,
炎駒（えんく）,ハイスクールD×D,
ジオティクス・グレモリー,ハイスクールD×D,
ヴェネラナ・グレモリー,ハイスクールD×D,
サーゼクス・グレモリー,ハイスクールD×D,
ミリキャス・グレモリー,ハイスクールD×D,
ハインリヒ・コルネリウス・アグリッパ,ハイスクールD×D,
ゴモリー15世[13],ハイスクールD×D,
フェニックス卿,ハイスクールD×D,
フェニックス夫人,ハイスクールD×D,
ルヴァル・フェニックス,ハイスクールD×D,
ライザー・フェニックス,ハイスクールD×D,
マグナス・ローズ,ハイスクールD×D,
